PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-17,30-SEP-18,Settled,265375441,859339807,859782710
010005,01-OCT-17,30-SEP-18,Settled,123065631,114242849,328186792
010006,01-JUL-18,30-JUN-19,Settled,137908848,474412115,430770903
010007,01-OCT-17,30-SEP-18,Settled,16513022,17535473,32345892
010008,01-JAN-18,31-DEC-18,Settled,10342562,13511264,19339350
010011,01-JUL-18,30-JUN-19,Settled,194609657,651090488,538030839
010012,01-APR-18,31-MAR-19,Settled,47462426,174273137,282569026
010016,01-JAN-18,31-DEC-18,Settled,144658654,732195590,528035513
010018,01-OCT-17,30-SEP-18,Settled,38597734,2825285,156210353
010019,01-OCT-17,30-SEP-18,Settled,88171326,160351044,301211991
010021,01-OCT-17,30-SEP-18,Settled,25615263,21721546,64419185
010022,01-APR-18,31-MAY-18,Settled,2118578,2786030,11826439
010022,01-JUN-18,30-JUN-19,Settled,20922205,15022348,66649321
010023,01-JUL-18,30-JUN-19,Settled,417178006,720532137,784522978
010024,01-JAN-18,31-DEC-18,Amended,180869001,633445857,455958588
010029,01-OCT-17,30-SEP-18,Settled,297538374,318505106,454027795
010032,01-OCT-17,13-NOV-17,Settled,1298111,305911,1815840
010032,14-NOV-17,30-JUN-18,Settled,7525611,2036893,14570702
010032,01-JUL-18,08-JAN-19,Settled,7759009,1517517,15614249
010033,01-OCT-17,30-SEP-18,As Submitted,1376111839,4157337346,2825639000
010034,01-OCT-17,30-SEP-18,Settled,15001406,11112314,23952471
010035,01-JUL-18,30-JUN-19,Settled,105446227,218858137,306720823
010036,01-APR-18,31-MAR-19,Settled,33134110,103516146,164826631
010038,01-OCT-17,30-SEP-18,Settled,34412859,165315733,296796313
010039,01-JUL-18,30-JUN-19,Settled,906115713,2653502620,2460057652
010040,01-OCT-17,30-SEP-18,Settled,171251550,1402172660,1146873302
010044,01-OCT-17,30-SEP-18,Settled,22208983,23132211,44534653
010045,01-OCT-17,30-SEP-18,Settled,25242273,25966449,50190350
010046,01-JAN-18,31-DEC-18,Settled,77959859,459168055,409691935
010047,01-JAN-18,31-DEC-18,Settled,5789093,2442824,7557103
010049,01-JAN-18,31-DEC-18,Settled,43729748,170642341,445859430
010051,01-OCT-17,30-SEP-18,Settled,8004570,4790661,5536614
010052,01-JAN-18,31-DEC-18,Settled,12009032,3381902,15587299
010055,01-OCT-17,30-SEP-18,Settled,174887921,895208858,1155808441
010056,01-JUL-18,30-JUN-19,Settled,381572590,950724222,1275493459
010058,01-OCT-17,30-SEP-18,Settled,18257752,13003705,16258777
010059,01-OCT-17,30-SEP-18,Settled,12662760,6037972,26920182
010061,01-OCT-17,30-SEP-18,Settled,46096262,42591607,78126189
