PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
030010,01-OCT-22,30-JUN-23,As Submitted,135142936,1138288311,534483804
030011,01-OCT-22,30-JUN-23,As Submitted,179064763,1345134428,718574560
030077,01-OCT-22,09-JAN-23,Settled,23439015,6762,209261
030153,14-OCT-22,31-JAN-23,Settled,4663831,6682868,12515778
031313,01-OCT-22,30-JUN-23,As Submitted,,41103579,152498913
043036,01-JAN-23,28-FEB-23,As Submitted,2795600,2948357,34172
053045,25-MAR-23,30-APR-23,As Submitted,1961751,1060419,
083028,27-JAN-23,30-APR-23,As Submitted,3683530,5484225,251015
102024,01-OCT-22,31-MAR-23,As Submitted,17729782,131076952,
110028,01-JAN-23,30-JUN-23,As Submitted,234772616,545702379,375417846
110111,01-JAN-23,30-JUN-23,As Submitted,12747045,9687416,45082932
110130,01-DEC-22,31-JAN-23,As Submitted,2547494,1892400,3881115
110161,01-OCT-22,30-SEP-23,As Submitted,1992005177,2879376189,7236213640
140125,01-JAN-23,28-FEB-23,As Submitted,14186233,48367188,69224956
140167,01-OCT-22,16-JUL-23,As Submitted,25642140,8559359,51560598
144042,01-OCT-22,31-DEC-22,Settled,8111462,22372700,960619
190204,01-APR-23,30-JUN-23,As Submitted,27232600,27932197,97571214
230003,01-JAN-23,30-JUN-23,As Submitted,36099353,29777752,111655598
230021,01-JAN-23,30-JUN-23,As Submitted,233002152,238387527,487415263
230078,01-JAN-23,30-JUN-23,As Submitted,21157788,11700512,52758705
230093,01-JAN-23,30-JUN-23,As Submitted,37048076,21973147,98329498
230110,01-JAN-23,30-JUN-23,As Submitted,48891986,25738666,118925471
230208,01-JAN-23,30-JUN-23,As Submitted,22600155,5086302,58131003
230230,01-JAN-23,30-JUN-23,As Submitted,410740337,762648870,953534574
231316,01-OCT-22,31-DEC-22,As Submitted,,2398714,18121290
231326,01-JAN-23,30-JUN-23,As Submitted,,9380955,69745934
231327,01-JAN-23,30-JUN-23,As Submitted,,8870106,65493988
231331,01-JAN-23,30-JUN-23,As Submitted,,7191813,75172859
232037,01-JAN-23,30-JUN-23,As Submitted,8735222,28501312,
241365,01-JAN-23,30-JUN-23,As Submitted,,838279,14259880
250163,01-JAN-23,02-JUL-23,As Submitted,758432,115259,
250172,01-OCT-22,30-APR-23,As Submitted,6595772,1581176,16558793
262017,01-NOV-22,31-JAN-23,Settled,6627011,37283793,
290022,01-JAN-23,11-JUL-23,As Submitted,40007685,187400089,234495567
292008,01-JAN-23,11-JUN-23,As Submitted,3960304,10330962,
313030,01-JAN-23,30-MAR-23,Settled,8333525,2665845,5803460
330163,01-JAN-23,17-JUN-23,As Submitted,14866498,4618355,29365713
340051,01-OCT-22,30-JUN-23,As Submitted,119831647,102586509,302395563
341323,01-OCT-22,30-JUN-23,As Submitted,,5615564,35439697
344034,01-OCT-22,30-JUN-23,As Submitted,7308599,10362125,70195
360090,01-OCT-22,08-MAY-23,As Submitted,93738079,88687607,137880935
363045,01-JAN-23,28-FEB-23,Settled,3399352,1707395,
390339,06-DEC-22,30-JUN-23,As Submitted,103337856,115453461,136497557
420117,06-FEB-23,30-JUN-23,As Submitted,18947501,15315361,36028259
421303,01-OCT-22,16-JAN-23,As Submitted,,3388938,10205503
444032,15-NOV-22,30-JUN-23,Settled,12599548,14612499,27000
450697,01-OCT-22,30-APR-23,As Submitted,55293840,247659162,118903216
454155,17-NOV-22,31-DEC-22,Settled,1965696,1703505,
454156,01-FEB-23,30-JUN-23,As Submitted,4339790,10023534,
460003,01-MAY-23,30-JUN-23,As Submitted,22312589,22198832,26152937
460041,01-MAY-23,30-JUN-23,As Submitted,36900724,31366430,68522605
460051,01-MAY-23,30-JUN-23,As Submitted,51163075,60674301,104370743
500148,01-JAN-23,30-JUN-23,As Submitted,96159867,9430932,189250822
504011,01-JAN-23,31-JUL-23,As Submitted,17175560,23998200,2200425
510055,01-OCT-22,30-SEP-23,As Submitted,687714712,1085733196,1320478638
511317,01-JAN-23,31-MAR-23,As Submitted,,5345906,40383197
523030,29-MAR-23,30-JUN-23,As Submitted,3162377,3537573,
523031,05-MAY-23,31-JUL-23,As Submitted,3210785,2597332,
530034,01-JAN-23,30-JUN-23,As Submitted,14581205,2743996,35495780
673073,01-JAN-23,28-FEB-23,Settled,3293256,4969922,101291
673074,01-JAN-23,28-FEB-23,Settled,3586473,4223424,60344
