PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-21,30-SEP-22,As Submitted,352029811,1035331569,859593600
010005,01-OCT-21,30-SEP-22,As Submitted,151758353,119758733,400562051
010006,01-JUL-22,30-JUN-23,As Submitted,162754825,644031675,553222091
010007,01-OCT-21,30-SEP-22,As Submitted,22700290,21363450,41532902
010008,01-JAN-22,31-DEC-22,As Submitted,13919952,13309591,23050467
010011,01-JUL-22,30-JUN-23,As Submitted,257825782,749505208,652838554
010012,01-APR-22,31-MAR-23,As Submitted,53651279,159861961,300407533
010016,01-JAN-22,31-DEC-22,As Submitted,149013166,908351291,676572527
010018,01-OCT-21,30-SEP-22,As Submitted,49452503,3220470,222390895
010019,01-OCT-21,30-SEP-22,As Submitted,109515259,160968991,337911682
010021,01-OCT-21,30-SEP-22,As Submitted,34328545,23483427,102193981
010022,01-JAN-22,31-DEC-22,Amended,24183614,14423042,78456049
010023,01-JUL-22,30-JUN-23,As Submitted,566434470,842877411,929083982
010024,01-JAN-22,31-DEC-22,As Submitted,248250825,669566839,619265458
010029,01-OCT-21,30-SEP-22,As Submitted,332674423,389611659,507399555
010033,01-OCT-21,30-SEP-22,Amended,2039225260,6024733271,4293911557
010034,01-OCT-21,30-SEP-22,As Submitted,16363474,5046510,18837276
010035,01-JUL-22,30-JUN-23,As Submitted,138233878,290024793,383490847
010036,01-APR-22,31-MAR-23,As Submitted,34003440,103801824,201413961
010039,01-JUL-22,30-JUN-23,As Submitted,1138542947,3036803451,3124282456
010040,01-OCT-21,30-SEP-22,As Submitted,160212523,1465039992,1333800097
010044,01-OCT-21,30-SEP-22,As Submitted,23041235,17513970,49335504
010045,01-OCT-21,30-SEP-22,As Submitted,28182906,21198611,55611751
010046,01-JAN-22,31-DEC-22,As Submitted,97742587,512635518,409809582
010049,01-JAN-22,31-DEC-22,As Submitted,55320307,293748279,612627204
010051,01-OCT-21,30-SEP-22,As Submitted,10221490,13259775,9376990
010052,01-JAN-22,31-DEC-22,As Submitted,13188710,3036520,13176320
010055,01-OCT-21,30-SEP-22,As Submitted,194419681,1245405902,1400346185
010056,01-JUL-22,30-JUN-23,As Submitted,474198585,897243984,1515828338
010058,01-OCT-21,30-SEP-22,As Submitted,21534472,12760750,17845185
010059,01-OCT-21,30-SEP-22,As Submitted,12804489,4432133,23798353
010061,01-OCT-21,31-OCT-22,As Submitted,60901280,53443941,100326411
010062,01-OCT-21,30-SEP-22,As Submitted,23533106,18497242,17562590
010065,01-JAN-22,31-DEC-22,As Submitted,63760510,37068071,196135100
010069,01-JAN-22,31-DEC-22,As Submitted,20313550,19614774,44910659
010073,01-OCT-21,30-SEP-22,As Submitted,20646998,15837309,22006343
010078,01-OCT-21,30-SEP-22,As Submitted,220066366,733389819,949643897
010079,01-JUL-22,30-JUN-23,As Submitted,93534283,101310876,298919998
010083,01-OCT-21,30-SEP-22,Amended,116900901,592038251,1179185560
010085,01-APR-22,31-MAR-23,As Submitted,151665586,196328205,359051086
010086,01-JAN-22,31-DEC-22,As Submitted,19274042,32176475,76149003
010087,01-OCT-21,30-SEP-22,As Submitted,300438134,543000016,381497557
010089,01-JAN-22,31-DEC-22,As Submitted,79534297,471805286,656694606
010090,01-JUL-22,30-JUN-23,As Submitted,250017014,507727079,460028140
010091,01-JUL-22,30-JUN-23,As Submitted,14980004,4196292,26587566
010092,01-OCT-21,30-SEP-22,As Submitted,555357988,824084997,1044602505
010095,01-OCT-21,30-SEP-22,As Submitted,11552463,2947133,15661413
010097,01-JAN-22,31-DEC-22,As Submitted,15548559,5775182,30108846
010099,01-OCT-21,30-SEP-22,As Submitted,36980609,24599850,105773123
010100,01-APR-22,31-MAR-23,As Submitted,212004570,352905381,449215023
010101,01-JAN-22,31-DEC-22,As Submitted,27625662,103530796,214143388
010102,01-OCT-21,30-SEP-22,As Submitted,6481372,377514,6472807
010103,01-JAN-22,31-DEC-22,As Submitted,194761283,1252248175,825733539
010104,01-JUL-22,30-JUN-23,As Submitted,497825085,3942040886,3881725371
010108,01-JUL-22,30-JUN-23,As Submitted,60875293,93363520,143521577
010110,01-JAN-22,31-DEC-22,As Submitted,12273125,25377089,6373666
010112,01-OCT-21,30-SEP-22,As Submitted,37970248,37606645,57878025
010113,01-APR-22,31-MAR-23,As Submitted,473805604,840637002,667474004
010114,01-OCT-21,30-SEP-22,As Submitted,125214785,237801009,332660491
010118,01-JUL-22,30-JUN-23,As Submitted,45590768,213206357,426773314
010120,01-OCT-21,30-SEP-22,As Submitted,26003010,12509886,71305695
010125,01-JAN-22,31-DEC-22,As Submitted,22839821,24415129,45323041
010126,01-APR-22,31-MAR-23,As Submitted,34105738,27203759,120448690
010128,01-JAN-22,31-DEC-22,Amended,12199797,4049641,23630745
010129,01-APR-22,31-MAR-23,As Submitted,51765119,41925488,113971710
010130,01-JUL-22,30-JUN-23,As Submitted,36577072,56859391,226826230
010131,01-JUL-22,30-JUN-23,As Submitted,209651685,1372919571,2137273900
010138,01-JAN-22,31-DEC-22,As Submitted,3828837,3168100,3060532
010139,01-JAN-22,31-DEC-22,As Submitted,293028163,1827148346,1568130579
010144,01-JAN-22,31-DEC-22,As Submitted,206045207,346278759,345308896
010148,01-JAN-22,31-DEC-22,As Submitted,13449412,11789049,23163058
010149,01-JUL-22,30-JUN-23,As Submitted,178895966,360343401,270454678
010150,01-OCT-21,30-SEP-22,As Submitted,25426703,43584332,117083674
010157,01-APR-22,31-MAR-23,As Submitted,33513739,66996532,57637662
010158,01-JAN-22,31-DEC-22,As Submitted,30687551,37592750,77093345
010164,01-AUG-22,31-JUL-23,As Submitted,65700207,90908173,215521828
010168,01-JAN-22,31-DEC-22,As Submitted,66323284,110472905,123041015
010169,01-OCT-21,30-SEP-22,As Submitted,21968709,16347401,53801643
010173,01-JUL-22,30-JUN-23,As Submitted,26908196,14074597,148060961
010174,01-JAN-22,31-DEC-22,As Submitted,18103712,4279774,39290467
010175,01-OCT-21,30-SEP-22,As Submitted,19823380,17093156,32776907
011300,01-OCT-21,30-SEP-22,As Submitted,15699284,9302171,11798453
011302,01-OCT-21,30-SEP-22,As Submitted,,7149918,16875562
011304,01-JAN-22,31-DEC-22,As Submitted,,4806518,26555914
011305,01-JUL-22,30-JUN-23,As Submitted,,14799022,68508360
011306,01-JUL-22,30-JUN-23,As Submitted,,3713328,41121266
012006,01-APR-22,31-MAR-23,As Submitted,17145888,27195584,4286
012014,01-MAY-22,30-APR-23,As Submitted,8973726,25284012,
013025,01-JAN-22,31-DEC-22,As Submitted,41647233,68798204,219
013028,01-JAN-22,31-DEC-22,As Submitted,26302841,50291117,401
013029,01-JUN-22,31-MAY-23,As Submitted,32828060,66254900,255
013030,01-JAN-22,31-JUL-22,Amended,11417670,23992827,
013030,01-AUG-22,31-JUL-23,As Submitted,21688314,45591727,
013031,01-JUL-22,30-JUN-23,As Submitted,14158623,28639265,255
013032,01-JAN-22,31-DEC-22,As Submitted,18632805,36434162,
013033,01-JUN-22,31-MAY-23,As Submitted,21091811,46305645,
013300,01-JAN-22,31-DEC-22,As Submitted,,1077582597,524628207
013301,01-OCT-21,30-SEP-22,As Submitted,,237417628,296561665
014000,01-JUL-22,30-JUN-23,Settled,18466787,68271309,
014007,01-JUL-22,30-JUN-23,As Submitted,24252985,52864535,
014012,01-OCT-21,30-SEP-22,Settled,26353771,24309119,4680
014017,01-OCT-21,30-SEP-22,Settled,11085964,2389751,
014018,01-JAN-22,31-DEC-22,Settled,3975896,4898736,
020001,01-JAN-22,31-DEC-22,As Submitted,607916086,1924419995,948917760
020006,01-JAN-22,31-DEC-22,Amended,170338372,563254022,646743941
020008,01-JUL-22,30-JUN-23,As Submitted,108555747,64334695,138900440
020012,01-JAN-22,31-DEC-22,As Submitted,276754957,272906103,404001446
020017,01-JAN-22,31-DEC-22,Amended,231119025,1284308947,671492506
020018,01-OCT-21,30-SEP-22,As Submitted,167702553,112332,1232220
020026,01-OCT-21,30-SEP-22,As Submitted,514752701,798266,5257131
