PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-19,30-SEP-20,Amended,300285253,981189180,777385056
010005,01-OCT-19,30-SEP-20,Amended,126526915,122071166,360013910
010006,01-JUL-20,30-JUN-21,As Submitted,149058303,567069528,427267606
010007,01-OCT-19,30-SEP-20,As Submitted,17121293,18739408,31610406
010008,01-JAN-20,30-MAR-20,Settled,2907521,3180322,6240101
010008,31-MAR-20,31-DEC-20,As Submitted,8830787,9925334,16034482
010011,01-JUL-20,30-JUN-21,Amended,224328512,739775983,579969310
010012,01-APR-20,31-MAR-21,As Submitted,49907362,180745228,266348965
010016,01-JAN-20,31-DEC-20,As Submitted,136432983,826761739,514685842
010018,01-OCT-19,30-SEP-20,As Submitted,44637286,4027671,184905396
010019,01-OCT-19,30-SEP-20,As Submitted,89670337,163128949,295327726
010021,01-OCT-19,30-SEP-20,As Submitted,28045737,24983894,77008449
010022,01-JUL-20,30-JUN-21,As Submitted,19600400,12617191,71665221
010023,01-JUL-20,30-JUN-21,As Submitted,538431838,922230498,837682583
010024,01-JAN-20,31-DEC-20,Amended,211866126,581907507,516107620
010029,01-OCT-19,30-SEP-20,Amended,329110955,375816427,441929584
010033,01-OCT-19,30-SEP-20,As Submitted,1596131108,4992985999,3099355823
010034,01-OCT-19,30-SEP-20,As Submitted,13975170,8324924,17397828
010035,01-JUL-20,30-JUN-21,As Submitted,126128515,264171375,353469585
010036,01-APR-20,31-MAR-21,As Submitted,30385560,100459062,157598269
010038,01-OCT-19,30-SEP-20,Settled,34597602,164501505,270646100
010039,01-JUL-20,30-JUN-21,As Submitted,915118404,2921374329,2572308138
010040,01-OCT-19,30-SEP-20,Amended,159644901,1419292335,1181486418
010044,01-OCT-19,30-SEP-20,As Submitted,24980642,17846274,43728266
010045,01-OCT-19,30-SEP-20,Amended,26400652,23659185,47157391
010046,01-JAN-20,31-DEC-20,Amended,86848697,486325179,356528232
010049,01-JAN-20,31-DEC-20,Amended,47332955,238073940,449253046
010051,01-OCT-19,30-SEP-20,As Submitted,8937346,6432903,4439714
010052,01-JAN-20,31-DEC-20,As Submitted,12263368,4883074,12335731
010055,01-OCT-19,30-SEP-20,Amended,174824673,1016942248,1121510325
010056,01-JUL-20,30-JUN-21,Amended,416073340,917304680,1245980011
010058,01-OCT-19,30-SEP-20,As Submitted,19267571,14104491,15524976
010059,01-OCT-19,30-SEP-20,As Submitted,11628509,5374278,21348343
010061,01-OCT-19,30-SEP-20,As Submitted,47694388,41078195,75474920
010062,01-OCT-19,30-SEP-20,As Submitted,22595406,23241404,15336087
010065,01-JAN-20,31-DEC-20,As Submitted,60128187,38247381,184655473
010069,01-JAN-20,31-DEC-20,As Submitted,17579125,22224457,39326110
010073,01-OCT-19,30-SEP-20,As Submitted,18838377,16038329,19367775
010078,01-OCT-19,30-SEP-20,Amended,152393844,531156277,646402256
010079,01-JUL-20,30-JUN-21,As Submitted,76075779,99367487,243960108
010083,01-OCT-19,30-SEP-20,As Submitted,92218768,517476180,783097744
010085,01-APR-20,31-MAR-21,Amended,128590351,196865120,287665744
010086,01-JAN-20,31-DEC-20,Amended,16283015,31321507,68897878
010087,01-OCT-19,30-SEP-20,As Submitted,211614234,380235890,263651288
010089,01-JAN-20,31-DEC-20,As Submitted,76552374,440462666,460102972
010090,01-JUL-20,30-JUN-21,Amended,229534708,488732832,429443594
010091,01-JUL-20,30-JUN-21,As Submitted,13383017,7635601,23756285
010092,01-OCT-19,30-SEP-20,Amended,469090261,935883945,878151182
010095,01-OCT-19,30-SEP-20,As Submitted,8362655,2423967,13284196
010097,01-JAN-20,31-DEC-20,As Submitted,15536444,7704132,26483373
010099,01-OCT-19,30-SEP-20,As Submitted,27043932,19493486,84009316
010100,01-APR-20,31-MAR-21,As Submitted,185625266,264928097,339991743
010101,01-JAN-20,31-DEC-20,As Submitted,24929479,90332096,154055417
010102,01-OCT-19,30-SEP-20,As Submitted,4780833,434545,6245056
010103,01-JAN-20,31-DEC-20,Amended,188097259,1240614280,642672997
010104,01-JUL-20,30-JUN-21,As Submitted,422438395,3252086594,2784567220
010108,01-JUL-20,30-JUN-21,As Submitted,58382484,99567982,131516483
010109,01-OCT-19,06-MAR-20,As Submitted,5053799,2635863,7018671
010110,01-JAN-20,31-DEC-20,As Submitted,13067327,28474879,13719420
010112,01-OCT-19,30-SEP-20,As Submitted,26864202,23315556,43635465
010113,01-APR-20,31-MAR-21,As Submitted,438568408,831855000,489277879
010114,01-OCT-19,30-SEP-20,As Submitted,96021329,221656265,293578054
010118,01-JUL-20,30-JUN-21,As Submitted,46235142,248787066,344561511
010120,01-OCT-19,30-SEP-20,Settled,22493443,9646213,68532619
010125,01-JAN-20,31-DEC-20,Amended,20235788,27810639,32068829
010126,01-APR-20,31-MAR-21,Amended,27147900,31451330,102120948
010128,01-JAN-20,31-DEC-20,As Submitted,11958164,6043455,20199656
010129,01-APR-20,31-MAR-21,As Submitted,49271120,32126506,70026436
010130,01-JUL-20,30-JUN-21,Amended,34619288,62278422,195200245
010131,01-JUL-20,30-JUN-21,As Submitted,204059809,1267886474,1651713145
010138,01-JAN-20,31-DEC-20,As Submitted,4244860,4747848,3168556
010139,01-JAN-20,31-DEC-20,As Submitted,287193630,1873897299,1234083443
010144,01-JAN-20,31-DEC-20,As Submitted,200195404,355471336,293291838
010148,01-JAN-20,31-DEC-20,As Submitted,13572489,14063651,21636457
010149,01-JUL-20,30-JUN-21,As Submitted,162238617,370465916,254333004
010150,01-OCT-19,30-SEP-20,Settled,19773804,44018166,95346187
010157,01-APR-20,31-MAR-21,As Submitted,25704960,63555328,37197348
010158,01-JAN-20,31-DEC-20,Amended,23792734,47664805,66991619
010164,01-AUG-20,31-JUL-21,As Submitted,61375017,91552095,200989657
010168,01-JAN-20,31-DEC-20,Amended,50300849,118539362,69045263
010169,01-OCT-19,30-SEP-20,As Submitted,20409326,17119965,46007123
010173,01-JUL-20,30-JUN-21,Amended,25176136,15494483,131536584
010174,17-MAR-20,31-DEC-20,As Submitted,13321119,3076198,21973668
011300,01-OCT-19,30-SEP-20,Settled,13234809,10046196,10129277
011302,01-OCT-19,30-SEP-20,Settled,,5239966,16311453
011304,01-JAN-20,31-DEC-20,Reopened,,5014189,22412935
011305,01-JUL-20,30-JUN-21,Reopened,,18918105,68578391
011306,01-JUL-20,30-JUN-21,Settled,,4090562,28971268
012006,01-APR-20,31-MAR-21,Settled,14995741,27201868,9098
012007,01-SEP-20,31-AUG-21,Settled,7992322,18984447,
012008,01-SEP-20,31-AUG-21,Settled,18663209,129096020,46708
012009,01-SEP-20,31-AUG-21,Settled,8974763,24939368,
012010,01-SEP-20,31-AUG-21,Settled,9824640,33614065,
012011,01-SEP-20,31-AUG-21,Settled,8757529,28511475,
012012,01-SEP-20,31-AUG-21,Settled,7129857,22415894,
012014,01-MAY-20,30-APR-21,Settled,8250946,25618281,
013025,01-JAN-20,31-DEC-20,Amended,36702222,65538644,1047
013028,01-JAN-20,31-DEC-20,Amended,24727675,47464263,800
013029,01-JUN-20,31-MAY-21,Amended,24410299,58749767,1534
013030,01-JAN-20,31-DEC-20,As Submitted,17148828,38119291,
013031,01-JUL-20,30-JUN-21,Amended,13363350,25483470,
013032,01-JAN-20,31-DEC-20,Amended,15840005,29095788,
013033,01-JUN-20,31-MAY-21,Amended,20339271,43804441,240
013300,01-JAN-20,31-DEC-20,As Submitted,,952882030,437602226
013301,01-OCT-19,30-SEP-20,Settled,,211019097,172807472
014000,01-JUL-20,30-JUN-21,Settled,17900217,47989992,
014006,01-JAN-20,31-DEC-20,Settled,5277093,6916525,
014007,01-JUL-20,30-JUN-21,Settled,30956852,26794164,
014012,01-OCT-19,30-SEP-20,Settled,30033925,23834977,260930
014016,01-JUL-20,30-JUN-21,Settled,4818738,3393741,
014017,01-OCT-19,30-SEP-20,Settled,9716548,1949992,
014018,01-JAN-20,31-DEC-20,Settled,3092798,2446581,
020001,01-JAN-20,31-DEC-20,Amended,517525248,1642440121,807226047
