PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-15,30-SEP-16,Settled,248917319,797455884,719901053
010005,01-OCT-15,30-SEP-16,Settled,117400193,116809860,301037435
010006,01-JUL-16,30-JUN-17,Settled,124558586,437786848,332712211
010007,01-OCT-15,30-SEP-16,Settled,14348705,17301481,28459816
010008,01-JAN-16,31-DEC-16,Settled,12150359,14216690,36332932
010011,01-JUL-16,30-JUN-17,Settled,201474528,627893291,523534615
010012,01-APR-16,31-MAR-17,Settled,43681419,140131110,241344590
010016,03-OCT-15,31-DEC-15,Settled,33871955,137740875,86772512
010016,01-JAN-16,31-DEC-16,Reopened,146533613,630739181,429944213
010018,01-OCT-15,30-SEP-16,Reopened,31559261,1192349,123310607
010019,01-OCT-15,30-SEP-16,Settled,78404047,128703321,256389800
010021,01-OCT-15,30-SEP-16,Settled,25328791,24961009,62698663
010022,01-APR-16,31-MAR-17,Settled,12377968,18802385,61874294
010023,01-JUL-16,30-JUN-17,Reopened,385762497,743537640,703511868
010024,01-JAN-16,31-DEC-16,Settled,164965140,563113847,373017435
010029,01-OCT-15,30-SEP-16,Settled,256828641,257626133,423189406
010032,01-OCT-15,30-SEP-16,Settled,7677531,4522419,19349235
010033,01-OCT-15,30-SEP-16,Reopened,1221201056,3623618665,2374641901
010034,01-OCT-15,30-SEP-16,Settled,16287105,14967422,25347001
010035,01-JUL-16,30-JUN-17,Settled,96853298,208370106,273462041
010036,01-APR-16,31-MAR-17,Settled,32139048,98884804,142662852
010038,01-JUL-16,30-APR-17,Reopened,37260127,140916869,278194048
010039,01-JUL-16,30-JUN-17,Reopened,807987759,2469931915,2281735602
010040,01-OCT-15,30-SEP-16,Settled,167545259,1356926878,1004574040
010044,01-OCT-15,30-SEP-16,Settled,22117968,21655686,43802488
010045,01-OCT-15,30-SEP-16,Reopened,25159067,27489230,51390420
010046,01-JAN-16,31-DEC-16,Settled,91955566,319830103,366086193
010047,01-JAN-16,31-DEC-16,Settled,6450221,3583038,11681995
010049,01-JAN-16,31-DEC-16,Settled,46217913,150475073,372635876
010051,01-OCT-15,30-SEP-16,Settled,9833616,6787607,6454860
010052,01-JAN-16,31-DEC-16,Settled,15832760,3376243,19817844
010055,01-OCT-15,30-SEP-16,Settled,172001978,711231499,879200155
010056,01-JUL-16,30-JUN-17,Reopened,370543163,850768716,1097146437
010058,01-OCT-15,30-SEP-16,Settled,17060591,15491661,13990753
010059,01-OCT-15,30-SEP-16,Settled,14483771,7650619,31886028
010061,01-OCT-15,30-SEP-16,Settled,50666607,50361616,73853329
010062,01-OCT-15,30-SEP-16,Settled,20582279,23968776,29649088
010065,01-JAN-16,31-DEC-16,Settled,61719447,47772801,165185817
010069,01-OCT-15,30-SEP-16,Settled,14452051,21577417,40117071
010073,01-OCT-15,30-SEP-16,Settled,15757056,15079237,14154280
010078,01-JUL-16,30-JUN-17,Settled,165740844,563968498,653917044
010079,01-JAN-16,30-JUN-16,Settled,25453150,40160197,88723694
010079,01-JUL-16,30-JUN-17,Reopened,56475396,79801051,190277962
