PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
011305,01-JUL-17,30-JUN-18,Settled,,16784003,81254739
012006,01-APR-17,31-MAR-18,Settled,12595099,27481197,43849
012007,01-SEP-17,31-AUG-18,Settled,8375708,22121297,
012008,01-SEP-17,31-AUG-18,Settled,13767396,55971068,4502
012009,01-SEP-17,31-AUG-18,Settled,9273469,26178831,
012010,01-SEP-17,31-AUG-18,Settled,9289345,28960256,
012011,01-SEP-17,31-AUG-18,Settled,8560505,27615141,
012012,01-SEP-17,31-AUG-18,Settled,8196203,29203977,
012014,01-MAY-17,30-APR-18,Settled,8074013,18966263,
013025,01-JAN-17,31-DEC-17,Settled,31977619,63201737,2055534
013028,01-JAN-17,31-DEC-17,Settled,23206599,42621566,992948
013029,01-JUN-17,31-MAY-18,Settled,21798535,54770159,
013030,01-JAN-17,31-DEC-17,Settled,19557375,35120711,175816
013032,01-JAN-17,31-DEC-17,Settled,14419484,24957677,
013033,01-JUN-17,31-MAY-18,Settled,17105069,34873494,775936
013300,01-JAN-17,31-DEC-17,Settled,,1104608715,523050827
013301,01-OCT-16,30-SEP-17,Settled,,171330999,55564014
014000,01-JUL-17,30-JUN-18,Settled,21588766,56296355,
014006,01-JAN-17,31-DEC-17,Settled,6119233,12057333,257946
014007,01-JUL-17,30-JUN-18,Settled,23878867,25504784,
014012,01-OCT-16,30-SEP-17,Settled,25033018,21058215,34628
014016,01-JUL-17,30-JUN-18,Settled,4943514,9817149,
014017,01-OCT-16,30-SEP-17,Settled,9624287,3630648,
014018,01-JAN-17,31-DEC-17,Settled,3046784,4419198,
020001,01-JAN-17,31-DEC-17,Settled,509614840,1560511450,729461379
020006,01-JAN-17,31-DEC-17,Settled,121536954,324470347,334589459
020008,01-JUL-17,30-JUN-18,Settled,83656262,64573641,84919201
020012,01-JAN-17,31-DEC-17,Settled,219267460,204945920,273225374
020017,01-JAN-17,31-DEC-17,Reopened,190401439,695685697,324640819
020018,01-OCT-16,30-SEP-17,Settled,71602840,98258,751100
020024,01-JUL-17,30-JUN-18,Settled,131448717,136666407,188771996
020026,01-OCT-16,30-SEP-17,Settled,351271463,693234,3977694
021301,01-JAN-17,31-DEC-17,Settled,15572791,7121363,9840902
021302,01-JAN-17,31-DEC-17,Settled,21329645,15239713,11261727
021303,01-JUL-17,30-JUN-18,Settled,25289727,10614783,16275952
021304,01-JUL-17,30-JUN-18,Settled,13422928,7049802,7693451
021305,01-JUL-17,30-JUN-18,Settled w/Audit,10682970,5497533,5563693
021306,01-JAN-17,31-DEC-17,Settled w/Audit,37834446,29645396,44910830
021307,01-JAN-17,31-DEC-17,Settled,8410654,8348388,2684525
021308,01-OCT-16,30-SEP-17,Settled,66936913,29341848,49931999
021309,01-OCT-16,30-SEP-17,Settled,,11724,123112
021310,01-OCT-16,30-SEP-17,Settled,,13380,177093
021311,01-JUL-17,30-JUN-18,Reopened,72516931,49957871,72701904
021312,01-OCT-16,30-SEP-17,Settled,,5850,82816
021313,01-JUL-17,30-JUN-18,Settled w/Audit,63530978,37455799,62895131
021314,01-OCT-16,30-SEP-17,Reopened,,48660,772635
022001,01-JAN-17,31-DEC-17,Settled,36468747,71082488,
024002,01-JUL-17,30-JUN-18,Settled,31711711,33871413,3334
030001,01-JAN-17,30-APR-17,Settled,15827319,51426620,59389898
030002,01-JAN-17,31-DEC-17,Reopened,694275325,2388750707,1065740447
030006,01-JAN-17,31-DEC-17,Settled,494469363,1370901153,720408607
030007,01-JUL-17,30-JUN-18,Settled w/Audit,119846532,297193961,281019265
030010,01-OCT-16,30-SEP-17,Settled,195972124,718303704,544478172
030011,01-OCT-16,30-SEP-17,Settled w/Audit,225498168,914055589,555550093
030012,01-JAN-17,31-DEC-17,Settled w/Audit,243160155,488200542,668678659
030013,01-OCT-16,30-SEP-17,Settled,382526600,725860988,942754828
030014,01-JAN-17,31-DEC-17,Settled,362874794,1138496730,1001085316
030016,01-JAN-17,31-DEC-17,Settled,117125873,296324129,421862257
030022,01-JUL-17,30-JUN-18,Settled,396464483,1095448025,863979083
030023,01-JUL-17,30-JUN-18,Settled,368606750,707829419,501267325
030024,01-JUL-17,30-JUN-18,Settled,744953862,2456747074,1685877809
030030,01-APR-17,31-MAR-18,Settled,115089886,470205858,364227199
030033,01-JAN-17,31-DEC-17,Settled,38136459,62500296,186248885
030036,01-JUL-17,30-JUN-18,Settled,467581206,2040200887,1240097597
030037,01-JUN-17,31-MAY-18,Settled w/Audit,146668848,541547339,379623922
030038,01-JAN-17,31-DEC-17,Settled,284122875,1138955427,740170738
030043,01-MAY-17,30-APR-18,Reopened,88467557,158260389,254778792
030055,01-JUL-17,30-JUN-18,Settled w/Audit,212617139,588479179,704430874
030061,01-JAN-17,31-DEC-17,Settled,310857221,939944953,768856068
030062,01-JAN-17,31-DEC-17,Settled,120519317,157943300,380561657
030064,01-JAN-17,31-DEC-17,Reopened,671988810,1628915206,1467202761
030065,01-JAN-17,31-DEC-17,Settled,579497691,1984684523,1265964585
030068,01-JAN-17,31-DEC-17,Settled,49579719,27900785,101706509
030069,01-SEP-17,31-AUG-18,Reopened,142015949,486821338,590945572
030071,01-OCT-16,30-SEP-17,Settled,79249451,184554,1262284
030073,01-OCT-16,30-SEP-17,Settled,88112710,197514,1480037
030074,01-OCT-16,30-SEP-17,Settled,40465714,10604,319650
030077,01-OCT-16,30-SEP-17,Settled,41477405,17069,431640
030078,01-OCT-16,30-SEP-17,Settled,115495147,144211,1508640
030083,01-OCT-16,30-SEP-17,Settled,90424707,268494511,243577491
030084,01-OCT-16,30-SEP-17,Settled,85455284,98591,1171800
030085,01-OCT-16,30-SEP-17,Settled,257378045,1048484798,1132889410
030087,01-JAN-17,31-DEC-17,Settled,380909436,1348717607,1066867141
030088,01-JAN-17,31-DEC-17,Reopened,247869890,988697206,609962767
030089,01-JAN-17,31-DEC-17,Reopened,429352501,1381565968,1014407068
030092,01-JAN-17,31-DEC-17,Settled w/Audit,222790205,876347034,823610911
030093,01-JAN-17,31-DEC-17,Settled,264118274,904277151,848405648
030094,01-APR-17,31-MAR-18,Settled,275160153,1178564390,829842333
030101,01-SEP-17,31-AUG-18,Settled,71405982,547559009,546192503
030103,01-JAN-17,31-DEC-17,Settled,584647136,882783281,898690615
030105,01-JAN-17,31-DEC-17,Settled,107904712,530116210,314293791
030107,01-JAN-17,31-DEC-17,Settled,29362654,112418781,57271332
030108,01-JAN-17,31-DEC-17,Reopened,33024593,57397667,39801603
030110,01-MAY-17,30-APR-18,Settled,186192613,852665845,756650506
030111,01-JAN-17,31-DEC-17,Reopened,140035346,265245109,407594286
030112,01-JAN-17,31-DEC-17,Settled,24602758,78880853,74030423
030113,01-OCT-16,30-SEP-17,Settled,43939134,52500,476151
030114,01-OCT-16,30-SEP-17,Settled,91815425,356088114,413599509
030115,01-JAN-17,31-DEC-17,Reopened,258912035,885891650,884476517
030117,01-DEC-16,30-NOV-17,Settled w/Audit,38889128,155241627,271179110
030119,01-JUL-17,30-JUN-18,Settled,259938142,953539509,777831482
030120,01-JAN-17,31-DEC-17,Settled,20645098,17329036,61806549
030121,01-JUL-17,30-JUN-18,Settled,145404146,522228303,403526455
030122,01-JAN-17,31-DEC-17,Settled,296847444,661733471,981907660
030123,01-JAN-17,31-DEC-17,Settled w/Audit,119653216,490117589,318953047
030130,01-JAN-17,31-DEC-17,Settled,57056657,118474555,262451580
030131,01-JAN-17,31-DEC-17,Settled,66875925,201572943,31825129
030132,01-JAN-17,31-DEC-17,Settled,20071911,27149441,77680985
030134,01-JAN-17,31-DEC-17,Settled w/Audit,17941058,18993319,108249139
030136,01-JAN-17,31-DEC-17,Settled,79443633,9553999,512688015
030137,01-JAN-17,31-DEC-17,Settled,60762623,38982791,57722055
031300,01-JAN-17,31-DEC-17,Settled,,10199245,58652114
031301,01-JUL-17,30-JUN-18,Settled,,3387942,25099114
031302,01-JUL-17,30-JUN-18,Settled,16023367,5089688,21062506
031304,01-JAN-17,31-DEC-17,Settled,,6573809,35246114
031305,01-OCT-16,30-SEP-17,Settled,,4656,116457
031307,01-OCT-16,30-SEP-17,Settled,,3888,158235
031308,01-OCT-16,30-SEP-17,Reopened,,1728,680636
031309,01-OCT-16,30-SEP-17,Settled w/Audit,,5946152,24513975
031311,01-OCT-16,30-SEP-17,Settled w/Audit,,37802946,74221951
031312,01-JUL-17,30-JUN-18,Settled,,4359477,122808933
031313,01-OCT-16,30-SEP-17,Settled,,27979675,105701403
031314,01-JAN-17,31-DEC-17,Settled,,35865869,78191413
031315,01-JAN-17,31-DEC-17,Settled,,6591710,24774863
031317,01-OCT-16,30-SEP-17,Settled,,17299206,58963976
032000,01-OCT-16,31-AUG-17,Reopened,15259055,50324138,
032000,01-SEP-17,31-AUG-18,Settled,9878291,29716660,20206
032001,01-DEC-16,30-NOV-17,Reopened,23504085,83617913,91712
032002,01-OCT-16,31-AUG-17,Settled,10710655,36830199,
032002,01-SEP-17,31-AUG-18,Settled,8596540,27306155,
032004,01-SEP-17,31-AUG-18,Settled,13249250,60045956,9316
032005,01-JUN-17,31-MAY-18,Settled,14480598,54868830,
032006,01-JUN-17,31-MAY-18,Settled,19419904,73560522,84247
033025,01-JAN-17,31-DEC-17,Settled,15869865,27152824,2363152
033028,01-JAN-17,31-DEC-17,Settled,20118299,41334083,2576402
033029,01-JAN-17,31-DEC-17,Settled,13452281,26689099,
033032,01-JUN-17,31-MAY-18,Settled,17807558,32744016,2318977
033034,01-JAN-17,31-DEC-17,Settled,13273681,27569402,
033036,01-JUN-17,31-MAY-18,Settled,17835552,26002071,3643115
033037,01-JUN-17,31-MAY-18,Settled,18793292,41274141,1828030
033038,01-JAN-17,31-DEC-17,Settled,17950601,41511941,
033039,01-JAN-17,31-DEC-17,Settled,12519204,30970550,1362321
033040,21-NOV-16,31-DEC-17,Settled,18088702,52860511,
033302,01-JAN-17,31-DEC-17,Settled,,1130166843,902604122
034004,01-JAN-17,31-DEC-17,Settled,30266652,71229065,5876585
034013,01-JUN-17,31-MAY-18,Settled,38349686,118176601,12843186
034020,01-JUL-17,30-JUN-18,Settled,11656556,17535112,
034021,01-JUL-17,30-JUN-18,Settled,72680459,61913060,381870
034022,01-JAN-17,31-DEC-17,Settled,18641988,38097102,2686110
034023,01-OCT-16,30-SEP-17,Settled,16824770,6097116,13385409
034024,01-JAN-17,31-DEC-17,Settled,21194801,46751713,3938320
