PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-18,30-SEP-19,As Submitted,292824435,956830639,946926032
010005,01-OCT-18,30-SEP-19,Settled,130287853,116117511,350163108
010006,01-JUL-19,30-JUN-20,Settled,150636044,499803958,392584158
010007,01-OCT-18,30-SEP-19,Settled,15729898,15181682,31547528
010008,01-JAN-19,31-DEC-19,Settled,12203858,13501458,24595840
010011,01-JUL-19,30-JUN-20,Settled,202109831,736448254,554292101
010012,01-APR-19,31-MAR-20,Settled,48918059,183445644,303024817
010016,01-JAN-19,31-DEC-19,Settled,154831376,826136685,576653711
010018,01-OCT-18,30-SEP-19,As Submitted,44055987,2641091,185353005
010019,01-OCT-18,30-SEP-19,Settled,94198901,162289609,321775995
010021,01-OCT-18,30-SEP-19,Settled,25536406,22102365,70399416
010022,01-JUL-19,30-JUN-20,Settled,15628700,11238951,63797021
010023,01-JUL-19,30-JUN-20,Settled,450629788,777202587,801741715
010024,01-JAN-19,31-DEC-19,As Submitted,195418330,646379179,559941198
010029,01-OCT-18,30-SEP-19,Amended,315111549,344992075,491594316
010033,01-OCT-18,30-SEP-19,As Submitted,1524020834,4707047060,3126255849
010034,01-OCT-18,30-SEP-19,Settled,13721085,8549192,20498549
010035,01-JUL-19,30-JUN-20,Settled,111188686,211549621,323449870
010036,01-APR-19,31-MAR-20,Settled,32837161,103556849,172469051
010038,01-OCT-18,30-SEP-19,Settled,33757472,168598957,286859532
010039,01-JUL-19,30-JUN-20,Settled,891826675,2718279295,2470445556
010040,01-OCT-18,30-SEP-19,Settled,165249511,1474538589,1233279143
010044,01-OCT-18,30-SEP-19,Settled,21662824,19744266,44272275
010045,01-OCT-18,30-SEP-19,Settled,25004471,23648199,49825124
010046,01-JAN-19,31-DEC-19,Settled,82608953,487569330,410879597
010047,01-JAN-19,08-MAR-19,Settled,1334921,437227,1569003
010049,01-JAN-19,31-DEC-19,Settled,47677816,230386988,472665548
010051,01-OCT-18,30-SEP-19,Settled,8460004,6929869,5619104
010052,01-JAN-19,31-DEC-19,Settled,11348723,3274534,14674966
010055,01-OCT-18,30-SEP-19,Settled,179491029,1012036029,1222639409
010056,01-JUL-19,30-JUN-20,Amended,380363216,910459586,1189530543
010058,01-OCT-18,30-SEP-19,Settled,18132962,13736749,17251974
010059,01-OCT-18,30-SEP-19,Settled,12206833,5515206,26092285
