PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-14,30-SEP-15,Reopened,241468897,666889868,750715642
010005,01-OCT-14,30-SEP-15,Settled,111571235,123515521,276519792
010006,01-JUL-15,30-JUN-16,Settled,120782089,434107787,355805265
010007,01-OCT-14,30-SEP-15,Settled,14623213,20135438,28902693
010008,01-JAN-15,31-DEC-15,Settled,9175867,13714097,16992042
010011,01-JUL-15,30-JUN-16,Reopened,196817667,591366927,521602384
010012,01-APR-15,31-MAR-16,Reopened,43492088,125189416,234912525
010016,01-JAN-15,02-OCT-15,Settled,123170103,405019995,286134036
010018,01-OCT-14,30-SEP-15,Reopened,28395256,1338885,117372210
010019,01-OCT-14,31-DEC-14,Settled,21157748,32707444,64109581
010019,01-JAN-15,30-SEP-15,Settled,55580642,111830555,190380399
010021,01-OCT-14,30-SEP-15,Settled,25428981,28640150,62250618
010022,01-APR-15,31-MAR-16,Settled,12031716,17639005,59728431
010023,01-JUL-15,30-JUN-16,Settled,361059142,721696433,634230398
010024,01-JAN-15,31-DEC-15,Settled,150791362,495117625,336975704
010029,01-OCT-14,30-SEP-15,Settled,257428234,255448760,389707826
010032,01-OCT-14,30-SEP-15,Settled,6990773,6208099,16735084
010033,01-OCT-14,30-SEP-15,Reopened,1137904150,3550421089,2217025437
010034,01-OCT-14,30-SEP-15,Settled,17171068,14427636,25184054
010035,01-JUL-15,30-JUN-16,Settled,97312470,201889103,255170493
010036,01-APR-15,31-MAR-16,Settled,28835755,79182601,117068216
010038,01-JUL-15,30-JUN-16,Reopened,44512694,144909514,315644141
010039,01-JUL-15,30-JUN-16,Reopened,749443623,2357693189,2200877402
010040,01-OCT-14,30-SEP-15,Settled,155211887,1219783752,819825335
010044,01-OCT-14,30-SEP-15,Settled,17595505,17861796,39921750
010045,01-OCT-14,30-SEP-15,Reopened,25046224,29126507,50667181
010046,01-MAR-15,31-DEC-15,Reopened,71229251,445004318,394221152
010047,01-JAN-15,31-DEC-15,Settled,6886638,2959903,8597730
010049,01-JAN-15,31-DEC-15,Settled,40148104,126004574,319098303
010051,01-OCT-14,30-SEP-15,Settled,11946775,6332883,7090751
010052,01-JAN-15,31-DEC-15,Settled,13988486,3352775,16638633
010055,01-OCT-14,30-SEP-15,Settled,168056561,594490346,738305517
010056,01-JUL-15,30-JUN-16,Reopened,357911333,787768508,1010279654
010058,01-OCT-14,30-SEP-15,Reopened,16109121,14692853,12814912
010059,01-OCT-14,30-SEP-15,Settled,13816781,8416347,31537383
010061,01-OCT-14,30-SEP-15,Settled,49964542,51063354,75315094
010062,01-OCT-14,30-SEP-15,Settled,18443762,20568055,21742942
010065,01-JAN-15,31-DEC-15,Settled,58239296,43611772,146145801
010069,01-OCT-14,30-SEP-15,Settled,15645252,21676521,39783584
010073,01-OCT-14,30-SEP-15,Settled,15853790,13564468,13813776
010078,01-JUL-15,30-JUN-16,Reopened,153670488,565259156,639085148
010079,01-JUL-15,31-DEC-15,Settled,25535355,38906658,80486030
010083,01-OCT-14,30-SEP-15,Settled,75861171,333769925,487686278
010085,01-APR-15,31-MAR-16,Settled,111217383,193932189,242860409
010086,01-JAN-15,31-DEC-15,Settled,17909079,45787220,72990255
010087,01-OCT-14,30-SEP-15,Reopened,128450710,198989612,146892176
010089,01-JAN-15,02-OCT-15,Settled,70998125,146562831,168571559
010090,01-JUL-15,30-JUN-16,Settled,201323497,429640276,406311981
010091,01-JUL-15,30-JUN-16,Settled,13171848,12642639,30776454
010092,01-OCT-14,30-SEP-15,Reopened,410780553,1023772891,844339474
010095,01-OCT-14,30-SEP-15,Settled,8084397,3223825,12043409
010097,01-JAN-15,31-DEC-15,Settled,12332840,6756774,26086565
010099,01-OCT-14,30-SEP-15,Settled,24528112,18524209,57088359
010100,01-APR-15,31-MAR-16,Settled,121137304,206962053,295875750
010101,01-JAN-15,02-OCT-15,Settled,28407520,36526100,76237234
010102,01-OCT-14,30-SEP-15,Settled,4125588,915208,7136137
010103,01-JAN-15,02-OCT-15,Reopened,163904956,656394807,377627087
010104,01-JUL-15,30-JUN-16,Settled,236099429,1252407106,1081031511
010108,01-JUL-15,30-JUN-16,Reopened,40253903,77726794,137506861
010109,01-OCT-14,30-SEP-15,Settled,12738579,6748967,23426285
010110,01-JAN-15,31-DEC-15,Settled,10224925,23074194,17505225
010112,01-OCT-14,30-SEP-15,Settled,21263684,23332952,35720143
010113,01-APR-15,31-MAR-16,Reopened,313875835,743336100,377405354
010114,01-JAN-15,31-DEC-15,Settled,87522489,251868116,281213732
010118,01-JUL-15,30-JUN-16,Settled,49340255,183451588,302256204
010120,01-OCT-14,30-SEP-15,Settled,21440187,13159792,73110055
010125,01-JAN-15,31-DEC-15,Settled,13586143,34899265,28902407
010126,01-JAN-15,31-DEC-15,Settled,24046172,58139112,88557130
010128,01-JAN-15,31-DEC-15,Settled,9137049,6602084,18787634
010129,01-APR-15,31-MAR-16,Settled,23361658,24276467,40048452
010130,01-JUL-15,30-JUN-16,Settled,28473068,40840352,152053914
010131,01-JUL-15,30-JUN-16,Reopened,166122119,910440737,987953277
010138,01-JAN-15,31-DEC-15,Settled,3248352,3898969,4172985
010139,01-JAN-15,02-OCT-15,Settled,240577564,1573496902,1019439785
010144,01-JAN-15,31-DEC-15,Settled,147931248,283424768,275158625
010148,01-JAN-15,31-DEC-15,Settled,11673518,14531618,22426909
010149,01-JUL-15,30-JUN-16,Reopened,111733253,278799885,241082782
010150,01-FEB-15,31-JAN-16,Settled,19086381,55918499,91407209
010157,01-APR-15,31-MAR-16,Reopened,34240761,79248749,84212754
010158,01-JAN-15,31-DEC-15,Settled,21229339,54209451,72742179
010164,01-AUG-15,31-JUL-16,Reopened,57054606,113903272,197800701
010168,01-JAN-15,31-DEC-15,Settled,41312941,98634178,50931423
010169,01-OCT-14,30-SEP-15,Settled,16458208,24707312,60823483
010172,26-SEP-15,30-APR-16,Settled,1615145,1372213,
011300,01-OCT-14,30-SEP-15,Settled,10952798,9097522,6749516
011302,01-OCT-14,31-DEC-14,Settled,,1651254,4266470
011302,01-JAN-15,30-SEP-15,Settled,,5512755,14001056
011304,01-JAN-15,31-DEC-15,Settled w/Audit,,5426819,21509457
011305,01-JUL-15,30-JUN-16,Settled w/Audit,,19242939,63064390
