PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-13,30-SEP-14,Settled,234719962,676190584,617727387
010005,01-OCT-13,30-SEP-14,Reopened,107925267,119946209,268059728
010006,01-JUL-14,30-JUN-15,Reopened,123964445,437884534,338299448
010007,01-OCT-13,30-SEP-14,Settled,14657928,18774097,26355112
010008,01-JAN-14,31-DEC-14,Settled,11949033,17300461,17776719
010011,01-JUL-14,30-JUN-15,Reopened,189549484,588659691,483776585
010012,01-APR-14,31-MAR-15,Reopened,41774612,121277008,218414529
010016,01-JAN-14,31-DEC-14,Reopened,137781938,501027413,358167829
010018,01-OCT-13,30-SEP-14,Reopened,26011599,1249043,109482914
010019,01-OCT-13,30-SEP-14,Reopened,79793723,131354958,241828204
010021,01-OCT-13,30-SEP-14,Settled,25816474,28275377,58301674
010022,01-APR-14,31-MAR-15,Reopened,11140547,17331296,52838003
010023,01-JUL-14,30-JUN-15,Reopened,334798897,674012851,637026106
010024,01-JAN-14,31-DEC-14,Reopened,148552308,423111043,300891314
010029,01-OCT-13,30-SEP-14,Reopened,232798417,237195855,341542071
010032,01-OCT-13,30-SEP-14,Settled,6161670,5985567,15851942
010033,01-OCT-13,30-SEP-14,Amended,1087007481,3253259674,1907202876
010034,01-OCT-13,30-SEP-14,Reopened,17344892,16614663,24576804
010035,01-JUL-14,30-JUN-15,Settled,91818727,176162874,223698181
010036,01-APR-14,31-MAR-15,Reopened,29434781,77249545,99537694
010038,01-JUL-14,30-JUN-15,Reopened,47201734,130399238,316778973
010039,01-JUL-14,30-JUN-15,Reopened,690582078,2196175949,2050789822
010040,01-OCT-13,30-SEP-14,Reopened,150725080,1118642390,810739868
010044,01-OCT-13,30-SEP-14,Settled,17243157,15495385,34367042
010045,01-OCT-13,30-SEP-14,Reopened,22600912,30041289,47216694
010046,01-JUL-14,28-FEB-15,Reopened,60374419,338156174,322883227
010047,01-JAN-14,31-DEC-14,Reopened,6838089,3592717,9086064
010049,01-JAN-14,31-DEC-14,Reopened,39787291,115338623,287665975
010051,01-OCT-13,30-SEP-14,Reopened,11135121,7453514,9059162
010052,01-JAN-14,31-DEC-14,Reopened,14041077,3362194,17095629
010055,01-JUL-14,30-SEP-14,Reopened,39514785,140615405,176832110
010056,01-JUL-14,30-JUN-15,Reopened,345318492,748052938,1017091979
010058,01-OCT-13,30-SEP-14,Reopened,15538713,14818939,12035570
010059,01-OCT-13,30-SEP-14,Settled,13595831,12103520,27689286
010061,01-OCT-13,30-SEP-14,Reopened,48310471,43543393,63986188
010062,01-OCT-13,30-SEP-14,Reopened,17393094,16884739,15295676
010065,01-JAN-14,31-DEC-14,Reopened,58973898,44440139,130707460
010069,01-OCT-13,30-SEP-14,Reopened,15509979,23914414,40148614
010073,01-OCT-13,30-SEP-14,Settled,16263141,13940491,13482021
010078,01-JUL-14,30-JUN-15,Reopened,141878295,467019011,520076626
010079,01-JUL-14,30-JUN-15,Settled,48533530,74874840,140794855
010083,01-OCT-13,30-SEP-14,Reopened,73520864,307774039,414564352
010085,01-APR-14,31-MAR-15,Settled,99380766,181405105,230294429
010086,01-MAY-14,31-DEC-14,Settled,13598531,27750481,47416128
010087,01-OCT-13,30-SEP-14,Reopened,124355755,184558342,148372747
010089,01-JAN-14,31-DEC-14,Reopened,84072219,188124305,222003280
010090,01-JUL-14,30-JUN-15,Reopened,191343715,421397715,386376926
010091,01-JUL-14,30-JUN-15,Settled,13151944,13883344,29877264
010092,01-OCT-13,30-SEP-14,Reopened,396611384,979000851,747537306
010095,01-OCT-13,30-SEP-14,Settled,7894879,3174292,11172726
010097,01-JAN-14,31-DEC-14,Reopened,11937872,6060069,21510262
010099,01-OCT-13,30-SEP-14,Settled,25910372,18510886,56787259
010100,01-APR-14,31-MAR-15,Reopened,117662132,199059282,275284447
010101,01-JAN-14,31-DEC-14,Reopened,32579089,50378287,99831761
010102,01-OCT-13,30-SEP-14,Settled,3976132,1202671,7164802
010103,01-JAN-14,31-DEC-14,Reopened,192396122,841959567,474029407
010104,01-JUL-14,30-JUN-15,Reopened,184219614,902540555,792148778
010108,01-JUL-14,30-JUN-15,Reopened,34513986,67457029,129483954
010109,01-OCT-13,30-SEP-14,Settled,14687205,10332679,22887882
010110,01-JAN-14,31-DEC-14,Settled,11454119,23721683,18942577
010112,01-OCT-13,30-SEP-14,Settled,23864089,25577622,30844027
010113,01-APR-14,31-MAR-15,Reopened,310127192,731017352,351959805
010114,01-JAN-14,31-DEC-14,Settled,79301371,230785662,262614693
010118,01-JUL-14,30-JUN-15,Reopened,52092497,167610458,211080399
010120,01-OCT-13,30-SEP-14,Settled,19496476,11510627,57687691
010125,01-MAY-14,31-DEC-14,Settled,9638034,19188785,19734381
010126,01-JAN-14,31-DEC-14,Settled,22238040,38079501,86226903
010128,01-JAN-14,31-DEC-14,Settled,8266884,4674299,17311858
010129,01-APR-14,31-MAR-15,Settled,22752590,25114464,41241650
010130,01-JUL-14,30-JUN-15,Settled,27953408,43238132,138750998
010131,01-JUL-14,30-JUN-15,Reopened,144928384,711630765,794250212
010138,01-JAN-14,31-DEC-14,Reopened,3482184,3823063,4468226
010139,01-JAN-14,31-DEC-14,Reopened,316207652,1988533558,1268502309
010144,01-JAN-14,31-DEC-14,Reopened,140577588,265054455,274937627
010146,01-OCT-13,24-SEP-14,Settled,18578103,31739751,98738790
010146,25-SEP-14,30-SEP-15,Settled,15398242,26211793,80223125
010148,01-JAN-14,31-DEC-14,Reopened,12090919,12815163,17928747
010149,01-JUL-14,30-JUN-15,Settled,100160797,252479689,231253522
010150,01-FEB-14,31-JAN-15,Reopened,19373051,60655807,83430104
