PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-20,30-SEP-21,As Submitted,323727866,984934918,776288956
010005,01-OCT-20,30-SEP-21,Amended,135825258,134705196,369926366
010006,01-JUL-21,30-JUN-22,As Submitted,170263229,561341632,491046303
010007,01-OCT-20,30-SEP-21,As Submitted,22653245,23728489,39147848
010008,01-JAN-21,31-DEC-21,As Submitted,14362846,14727034,22022388
010011,01-JUL-21,30-JUN-22,As Submitted,250427389,735294551,587434648
010012,01-APR-21,31-MAR-22,As Submitted,55520185,174205110,292596386
010016,01-JAN-21,31-DEC-21,As Submitted,152633139,890384919,624954520
010018,01-OCT-20,30-SEP-21,As Submitted,47995891,3814030,210278222
010019,01-OCT-20,30-SEP-21,As Submitted,105368487,201460782,327855154
010021,01-OCT-20,30-SEP-21,As Submitted,33582308,30642513,96585541
010022,01-JUL-21,31-DEC-21,As Submitted,12810048,9632731,37109488
010023,01-JUL-21,30-JUN-22,Amended,581125284,888835189,886425282
010024,01-JAN-21,31-DEC-21,As Submitted,233158200,605042215,577612221
010029,01-OCT-20,30-SEP-21,As Submitted,329311000,407682802,463410205
010033,01-OCT-20,30-SEP-21,Amended,1800398312,5828808636,3733775425
010034,01-OCT-20,30-SEP-21,Amended,16771844,6590830,19803297
010035,01-JUL-21,30-JUN-22,As Submitted,136292331,275859693,369043408
010036,01-APR-21,31-MAR-22,As Submitted,34368126,112248423,176908821
010038,01-OCT-20,30-SEP-21,As Submitted,36010936,164081079,285448897
010039,01-JUL-21,30-JUN-22,As Submitted,1042264748,2972053481,2879706143
010040,01-OCT-20,30-SEP-21,As Submitted,155984570,1461087356,1230658305
010044,01-OCT-20,30-SEP-21,Amended,23179489,18523636,49668549
010045,01-OCT-20,30-SEP-21,Amended,28894155,26492836,53907589
010046,01-JAN-21,31-DEC-21,Amended,101093464,559190402,390543148
010049,01-JAN-21,31-DEC-21,As Submitted,52625693,286219710,520175963
010051,01-OCT-20,30-SEP-21,As Submitted,10728582,7411111,4562496
010052,01-JAN-21,31-DEC-21,As Submitted,12181405,3725941,12861808
010055,01-OCT-20,30-SEP-21,As Submitted,188148909,1137223230,1320996850
010056,01-JUL-21,30-JUN-22,As Submitted,456939438,869973016,1415738526
010058,01-OCT-20,30-SEP-21,As Submitted,19618297,12130750,16236617
010059,01-OCT-20,30-SEP-21,Amended,12999840,5045309,21326006
010061,01-OCT-20,30-SEP-21,As Submitted,57250566,50077270,81699281
010062,01-OCT-20,30-SEP-21,As Submitted,24080059,20511150,16681237
010065,01-JAN-21,31-DEC-21,As Submitted,66032467,35134459,198302964
010069,01-JAN-21,31-DEC-21,As Submitted,21038745,27372588,46484164
010073,01-OCT-20,30-SEP-21,As Submitted,21267952,18099670,20975110
010078,01-OCT-20,30-SEP-21,Amended,165370415,599111899,630442219
010079,01-JUL-21,30-JUN-22,As Submitted,89309940,106241713,269858768
010083,01-OCT-20,30-SEP-21,As Submitted,111198939,644238872,987386082
010085,01-APR-21,31-MAR-22,Amended,144040835,204514673,335293574
010086,01-JAN-21,31-DEC-21,As Submitted,18768871,36492322,78339244
010087,01-OCT-20,30-SEP-21,As Submitted,242013346,420106356,284779229
