ZIP,state,name,far1,far2,far3,far4,gridpop,sqmi,density,fr1pop,fr2pop,fr3pop,fr4pop,fr1pct,fr2pct,fr3pct,fr4pct
99784,AK,White Mountain,1,1,1,1,266,"4,088",0.1,266.0718141,266.0718141,266.0718141,266.0718141,100,100,100,100
99689,AK,Yakutat,1,1,1,1,660,"4,086",0.2,659.7719177,659.7719177,659.7719177,659.7719177,100,100,100,100
89419,NV,Lovelock,1,1,1,1,"5,092","4,068",1.3,5091.576701,5091.576701,5091.576701,5091.576701,100,100,100,100
99571,AK,Cold Bay,1,1,1,1,150,"4,019",0.0,149.9167711,149.9167711,149.9167711,149.9167711,100,100,100,100
99606,AK,Iliamna,1,1,1,1,346,"3,986",0.1,345.5454153,345.5454153,345.5454153,345.5454153,100,100,100,100
99655,AK,Quinhagak,1,1,1,1,301,"3,977",0.1,301.2979407,301.2979407,301.2979407,301.2979407,100,100,100,100
88317,NM,Cloudcroft,1,0,0,0,"2,873","3,939",0.7,2835.255005,685.6565769,685.6565769,685.6565769,98.682613,23.86465504,23.86465504,23.86465504
99743,AK,Healy,1,1,1,1,"1,568","3,889",0.4,1519.267261,1519.267261,1519.267261,1519.267261,96.87138748,96.87138748,96.87138748,96.87138748
79843,TX,Marfa,1,1,1,0,"7,799","3,857",2.0,7796.551036,7796.551036,7796.551036,2849.178383,99.96645601,99.96645601,99.96645601,36.53182852
82604,WY,Casper,0,0,0,0,"27,933","3,811",7.3,133.5770411,133.5770411,133.5770411,133.5770411,0.478205347,0.478205347,0.478205347,0.478205347
85634,AZ,Sells,0,0,0,0,"7,180","3,764",1.9,3571.25014,3571.25014,3571.25014,3569.0992,49.73759323,49.73759323,49.73759323,49.70763661
84728,UT,Garrison,1,1,1,1,159,"3,748",0.0,159.1404833,159.1404833,159.1404833,159.1348831,100,100,100,99.99648098
00005,AK,N Lake and Peninsula Bor,1,1,1,1,160,"3,713",0.0,159.7002563,159.7002563,159.7002563,159.7002563,100,100,100,100
99923,AK,Hyder,1,1,1,1,93,"3,704",0.0,92.60407428,92.60407428,92.60407428,92.60407428,100,100,100,100
99771,AK,Shaktoolik,1,1,1,1,224,"3,670",0.1,223.6951677,223.6951677,223.6951677,223.6951677,100,100,100,100
99751,AK,Kobuk,1,1,1,1,415,"3,648",0.1,414.813008,414.813008,414.813008,414.813008,100,100,100,100
92239,CA,Desert Center,1,1,1,1,"8,100","3,596",2.3,7773.344763,7773.344763,6332.366245,6332.366245,95.96699591,95.96699591,78.17717908,78.17717908
93555,CA,Ridgecrest,1,0,0,0,"32,948","3,586",9.2,32790.76588,128.0585408,128.0585408,128.0585408,99.52397446,0.388673293,0.388673293,0.388673293
84313,UT,Grouse Creek,1,1,1,1,96,"3,558",0.0,96.32615466,96.32615466,96.32615466,96.32615466,100,100,100,100
99750,AK,Kivalina,1,1,1,1,"1,057","3,557",0.3,1056.676372,1056.676372,1056.676372,1056.676372,100,100,100,100
85356,AZ,Wellton,0,0,0,0,"5,709","3,557",1.6,205.6398718,205.6398718,72.50261248,72.50261248,3.601737199,3.601737199,1.269867337,1.269867337
