Year,GEOID,Total Population,Labor Force,Unemployed,Median Income
2011,13215,194107,150650,10482,37333
2011,13217,100814,75325,7552,40932
2011,13223,143542,108055,10112,57764
2011,13245,201217,157447,12069,38928
2011,13247,85765,65527,5679,51067
2011,13285,67764,52295,4706,40368
2011,13295,68848,54737,4182,38187
2011,13297,84580,65751,3645,50129
2011,13313,103184,77011,5738,36928
2011,15001,186738,149292,9731,46479
2011,15003,963607,773786,32478,66146
2011,15007,67701,53992,2526,60751
2011,15009,156693,125006,7541,60147
2011,16001,400842,306763,21349,49643
2011,16005,83691,63184,2983,41097
2011,16019,105772,75501,3484,47828
2011,16027,191694,137426,12124,38470
2011,16055,141132,111167,7925,47782
2011,16083,78005,57950,3653,42015
2011,17001,67159,54107,2402,42635
2011,17019,201685,166654,9849,39591
2011,17031,5217080,4135994,352194,50813
2011,17037,104743,84448,7506,51327
2011,17043,923222,727776,47813,74072
2011,17089,520271,386967,26574,66497
2011,17091,113698,88451,6836,45669
2011,17093,116631,84203,4909,80655
2011,17097,706222,541190,38587,74266
2011,17099,113518,90671,5822,48935
2011,17111,308944,236724,20512,70117
2011,17113,170556,136693,7315,57799
2011,17115,110730,88847,5461,44415
2011,17119,268459,215046,13702,50372
2011,17143,186834,146772,10630,48988
2011,17161,147556,117856,5542,43597
2011,17163,270259,210556,11475,50318
2011,17167,198844,157687,9252,51075
2011,17179,135661,107728,4569,49237
2011,17183,81509,63840,4099,40869
2011,17197,681545,512233,36170,71882
2011,17199,66622,53873,2129,40439
2011,17201,293993,230433,19362,43603
2011,18003,358327,272427,17220,47426
2011,18005,77870,61149,2560,54197
2011,18019,111570,87325,4826,52464
2011,18035,117660,97663,7047,36811
2011,18039,198941,148536,10880,43317
2011,18043,74989,59660,3037,50940
2011,18053,69793,57200,3673,38187
2011,18057,282810,208351,8980,80999
2011,18059,70529,55145,2263,57062
2011,18063,147979,112989,4746,61687
2011,18067,82800,66651,4989,37589
2011,18081,141656,108942,6045,62274
