Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI
2011,25011,1857,2994,82245,1858,2933,72096
2011,25013,5912,10337,237871,6939,11845,303732
2011,25015,4114,6373,184924,4696,7037,196066
2011,25017,39521,61887,2744525,40609,64777,3285195
2011,25019,452,694,37113,376,569,20684
2011,25021,20042,33454,1759766,20544,33304,1603344
2011,25023,10191,17697,681103,9832,16177,540826
2011,25025,27202,37197,1810944,30276,45090,2298527
2011,25027,12509,21475,640474,13107,22463,874763
2011,26001,333,625,13280,272,473,8437
2011,26003,224,452,10397,204,371,7759
2011,26005,3226,6371,144348,3215,6240,125164
2011,26007,558,1015,20469,572,1049,21033
2011,26009,745,1477,33183,729,1342,28707
2011,26011,434,824,14123,387,721,15130
2011,26013,193,388,8694,128,248,4298
2011,26015,1540,3033,74041,1493,2922,57578
2011,26017,1843,3257,59421,1938,3367,71555
2011,26019,576,1100,29981,517,962,18474
2011,26021,3382,6705,153532,3800,7573,158925
2011,26023,847,1708,30540,968,1882,31881
2011,26025,2817,5298,103644,2904,5520,108948
2011,26027,1402,2825,64461,1364,2708,47232
2011,26029,787,1402,36615,723,1304,29542
2011,26031,710,1244,28232,672,1213,22961
2011,26033,631,1193,22786,722,1330,24789
2011,26035,846,1679,27392,816,1661,25024
2011,26037,2436,4741,111885,2362,4322,97339
2011,26039,411,755,16123,420,773,11738
2011,26041,557,1037,19562,684,1231,23424
2011,26043,505,911,17952,484,846,18684
2011,26045,3726,6928,130397,4198,7667,149087
2011,26047,1053,1872,52643,956,1690,40862
2011,26049,6662,12281,231414,8168,15249,314339
2011,26051,646,1225,23680,653,1248,20962
2011,26053,290,510,10667,300,500,9207
2011,26055,2685,4777,128610,2459,4321,96577
2011,26057,871,1779,27186,857,1666,30622
2011,26059,1004,1944,37171,1004,1988,34551
2011,26061,558,957,19812,857,1379,28077
2011,26063,601,1037,22328,590,1056,20113
2011,26065,7895,13545,276426,9952,16897,366463
2011,26067,1372,2739,46269,1430,2832,52005
2011,26069,694,1288,23723,724,1323,21090
2011,26071,212,367,7288,218,395,6915
2011,26073,1530,2707,53299,1875,3226,59709
2011,26075,3034,5720,126168,2983,5588,116295
2011,26077,5793,10190,251923,6113,10632,265373
2011,26079,622,1205,21905,505,984,15534
2011,26081,12239,22416,526706,12019,22241,516930
2011,26083,60,107,2687,63,112,1763
2011,26085,352,692,12388,355,699,10561
2011,26087,2149,4204,85574,2054,3961,78742
2011,26089,795,1422,46881,681,1148,33424
2011,26091,1941,3831,90129,2016,3760,77727
2011,26093,5093,9657,268721,4627,8337,242974
2011,26095,94,193,3474,117,201,3889
2011,26097,398,702,18864,342,564,10561
2011,26099,19018,35746,715304,18094,33487,748216
2011,26101,571,1139,28396,559,1043,19018
2011,26103,1203,2091,45272,1348,2271,48287
2011,26105,686,1274,28276,653,1199,22103
2011,26107,1115,2184,36284,1148,2066,37699
2011,26109,492,938,17436,463,804,15229
2011,26111,1983,3791,108025,2141,3953,131912
2011,26113,381,770,12503,390,787,9758
2011,26115,3117,6104,122961,3299,6367,138398
2011,26117,1604,3359,53817,1603,3293,50943
2011,26119,272,500,10559,303,566,10076
2011,26121,2893,5663,106002,2823,5209,96829
2011,26123,1177,2399,40636,1193,2463,39082
2011,26125,32387,58742,1662383,31157,55647,1710288
2011,26127,620,1330,21723,714,1520,21758
2011,26129,586,1105,19406,553,1065,14661
2011,26131,144,246,6742,143,263,5441
2011,26133,632,1293,18947,608,1215,18627
2011,26135,266,516,9086,208,416,5576
2011,26137,684,1294,24406,702,1352,21962
2011,26139,6733,13122,301236,6142,11663,263339
2011,26141,278,548,13648,299,535,11340
2011,26143,795,1454,34233,733,1304,23580
2011,26145,3092,5574,101082,3817,6881,139229
2011,26147,3048,5595,119075,3393,6036,111780
2011,26149,1132,2262,38132,1279,2480,41715
2011,26151,876,1852,27791,1037,1963,33006
2011,26153,214,410,10073,141,263,3947
2011,26155,1618,3143,52906,1760,3328,65063
2011,26157,1049,2127,32980,1265,2397,41731
2011,26159,1863,3777,75639,2072,4188,86095
2011,26161,10414,17670,511475,11597,19437,558386
2011,26163,32556,58126,1149226,39089,72537,1556373
2011,26165,897,1803,25930,895,1747,27587
2011,27001,513,945,23850,400,718,15595
2011,27003,10171,19041,428633,9891,18273,447264
2011,27005,828,1671,37920,878,1607,37809
2011,27007,1009,1929,40675,1523,2742,55416
2011,27009,1603,2776,50063,1721,3001,55782
2011,27011,116,200,4581,107,185,3718
2011,27013,2070,3536,73047,2149,3529,74182
2011,27015,500,942,18927,595,1070,21618
2011,27017,718,1298,27957,812,1473,30752
2011,27019,2967,5889,201149,2667,5092,208245
2011,27021,914,1776,47330,1025,2033,43898
2011,27023,322,596,10856,357,697,14845
2011,27025,1600,3099,71377,1713,3186,77230
2011,27027,1713,2967,62145,1876,3190,74487
2011,27029,213,399,7493,173,331,5614
2011,27031,153,275,7214,164,264,5131
2011,27033,280,553,9550,306,660,9474
2011,27035,1660,3055,81132,1670,2997,65007
2011,27037,12647,23122,614210,12440,22557,670062
2011,27039,579,1216,25311,494,958,19639
2011,27041,907,1642,43335,948,1586,33737
2011,27043,310,575,10889,424,804,17937
2011,27045,461,865,16331,495,883,18508
2011,27047,608,1195,19712,632,1183,24636
2011,27049,1150,2125,49457,1276,2323,61062
2011,27051,153,298,5673,187,344,7879
2011,27053,33847,56090,1780799,34032,58375,1975804
2011,27055,368,663,15998,452,788,18864
2011,27057,867,1701,39364,569,1153,22460
2011,27059,1244,2292,47567,1289,2477,54405
2011,27061,860,1626,35678,825,1452,30440
2011,27063,275,517,8649,251,464,8929
2011,27065,476,955,17633,539,1100,19064
2011,27067,862,1621,35090,963,1809,42300
2011,27069,99,195,3501,100,166,4475
2011,27071,197,387,10062,246,422,10211
2011,27073,137,302,5768,169,309,5798
2011,27075,277,533,21018,271,483,11005
2011,27077,97,165,3959,82,162,2686
2011,27079,1003,2158,56636,888,1715,34953
2011,27081,134,262,7877,137,272,4765
2011,27083,611,1146,21668,812,1492,35982
2011,27085,797,1481,31413,966,1756,37615
2011,27087,183,371,5912,115,252,3385
2011,27089,234,430,8819,216,395,9247
2011,27091,391,764,13710,462,847,17676
2011,27093,508,1014,20741,560,1076,20984
2011,27095,806,1612,31260,920,1733,33872
2011,27097,676,1292,24519,680,1215,22710
2011,27099,856,1722,28090,1028,2411,38072
2011,27101,173,313,7042,187,334,6252
2011,27103,1105,1961,42558,1178,2054,56434
2011,27105,429,989,12255,512,1045,16963
2011,27107,150,295,4496,194,344,7183
2011,27109,3591,6576,168553,3644,6800,185297
2011,27111,1353,2602,69603,1248,2229,47121
2011,27113,380,704,13521,402,687,16631
2011,27115,763,1424,28691,806,1475,26959
2011,27117,184,388,6222,249,515,8151
2011,27119,799,1509,25741,816,1441,29473
2011,27121,342,660,13896,292,522,10546
2011,27123,17766,29972,731124,18757,32745,917685
2011,27125,103,196,3108,102,182,3030
2011,27127,330,604,12366,402,700,15257
2011,27129,310,612,10000,399,739,13756
2011,27131,1473,2753,71124,1627,3179,73671
2011,27133,195,362,6679,208,437,9909
2011,27135,286,545,11541,338,658,18605
2011,27137,3786,6447,152367,3774,6194,154486
2011,27139,4448,8781,277790,4269,8900,249552
2011,27141,3109,5912,135179,3140,5794,132466
2011,27143,341,639,10839,386,736,13912
2011,27145,3711,6570,133052,4272,7349,161792
2011,27147,888,1713,34379,956,1826,40164
2011,27149,259,523,9922,233,487,8815
2011,27151,184,370,6575,265,486,12940
2011,27153,615,1225,21169,667,1334,21206
2011,27155,79,162,3011,75,130,3070
2011,27157,601,1174,27271,578,1040,22809
2011,27159,453,881,14385,427,819,13820
2011,27161,438,809,14687,603,1202,26304
2011,27163,8026,15435,457795,7585,13980,420072
2011,27165,239,487,7647,255,511,8424
2011,27167,187,359,6783,209,392,10835
2011,27169,1075,1853,40543,1041,1742,36573
2011,27171,3607,6828,172515,3390,6589,179959
2011,27173,225,450,7976,257,460,9102
2011,28001,673,1338,22160,654,1308,21610
