GEOID,FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
06041,0.0,4,2,50,2
06043,25.0,6,0,0,6
06045,73.07692307692308,11,10,0,5
06047,0.0,7,8,34,3
06049,100.0,4,0,0,6
06051,75.0,3,0,0,6
06053,0.0,4,15,75,3
06055,0.0,10,1,29,4
06057,0.0,10,10,0,5
06059,0.0,1,1,581,1
06061,0.0,7,20,58,2
06063,56.25,6,1,0,6
06065,2.7027027027027026,9,21,423,1
06067,0.0,1,14,302,1
06069,16.666666666666668,3,8,0,2
06071,8.791208791208792,21,35,313,2
06073,0.0,4,16,608,1
06075,0.0,2,0,195,1
06077,0.0,9,2,128,3
06079,0.0,7,10,37,3
06081,0.0,3,5,150,2
06083,0.0,4,6,80,3
06085,0.0,1,21,350,1
06087,0.0,1,4,48,3
06089,14.814814814814815,2,13,33,4
06091,33.333333333333336,1,0,0,6
06093,47.61904761904762,14,0,0,6
06095,0.0,3,4,89,3
06097,0.0,4,20,76,3
06099,0.0,3,9,82,3
06101,0.0,1,5,15,4
06103,0.0,6,5,0,5
06105,53.84615384615385,5,0,0,6
06107,3.225806451612903,9,15,54,3
06109,7.6923076923076925,4,7,0,5
06111,0.0,7,9,158,3
06113,0.0,2,1,38,2
06115,0.0,1,5,8,4
08001,0.0,1,2,94,2
08003,100.0,4,0,0,6
08005,0.0,0,2,145,2
08007,33.333333333333336,4,0,0,6
08009,100.0,2,0,0,6
08011,83.33333333333333,1,0,0,6
08013,0.0,2,4,62,3
08015,100.0,5,0,0,6
08017,100.0,1,0,0,6
08019,0.0,1,2,0,2
08021,100.0,2,0,0,6
08023,100.0,2,0,0,6
08025,0.0,1,0,0,6
08027,20.0,1,0,0,6
08029,37.5,7,0,0,6
08031,0.0,1,0,143,1
08033,100.0,1,0,0,6
08035,0.0,0,8,53,2
08037,100.0,9,5,0,5
08039,0.0,1,6,0,2
08041,0.0,2,8,120,3
08043,33.333333333333336,5,9,0,5
08045,44.44444444444444,6,5,0,5
08047,0.0,0,1,0,2
08049,55.55555555555556,3,0,0,6
08051,100.0,4,0,0,6
08053,100.0,1,0,0,6
08055,25.0,2,0,0,6
08057,100.0,1,0,0,6
08059,0.0,1,13,124,2
08061,100.0,1,0,0,6
08063,100.0,3,0,0,6
08065,100.0,2,0,0,6
08067,16.666666666666668,6,4,0,5
08069,0.0,4,5,64,3
08071,72.72727272727273,6,0,0,6
08073,50.0,2,0,0,6
08075,100.0,2,4,0,5
08077,5.882352941176471,1,3,25,4
08079,100.0,1,0,0,6
08081,100.0,1,3,0,5
08083,100.0,7,0,0,6
08085,72.72727272727273,5,5,0,5
08087,20.0,4,4,0,5
08089,20.0,7,0,0,6
08091,100.0,1,0,0,6
08093,50.0,3,2,0,2
08095,100.0,2,0,0,6
08097,100.0,4,0,0,5
08099,100.0,5,0,0,6
08101,0.0,1,4,50,4
08103,66.66666666666667,2,0,0,6
08105,100.0,3,0,0,6
08107,100.0,4,4,0,5
08109,100.0,2,0,0,6
08111,100.0,1,0,0,6
08113,100.0,4,0,0,6
08115,100.0,1,0,0,6
08117,25.0,2,3,0,5
08119,0.0,2,4,0,3
08121,81.81818181818181,2,0,0,6
08123,7.6923076923076925,15,15,47,3
08125,100.0,2,0,0,6
09001,0.0,1,3,207,3
09003,0.0,1,4,219,1
09005,0.0,14,21,16,5
09007,0.0,1,7,29,2
09009,0.0,1,0,189,3
09011,0.0,2,13,51,3
09013,0.0,0,12,17,2
09015,0.0,5,13,7,3
10001,0.0,1,9,23,4
10003,0.0,2,7,122,2
10005,0.0,21,25,8,3
11001,0.0,0,0,179,1
12001,0.0,0,12,44,3
12003,0.0,0,4,0,2
12005,0.0,1,4,39,4
12007,0.0,1,3,0,6
12009,0.0,2,4,108,3
12011,0.0,1,1,360,2
12013,0.0,1,2,0,6
12015,0.0,1,1,37,4
12017,0.0,4,4,20,4
12019,0.0,1,6,23,2
12021,0.0,1,6,67,3
12023,0.0,5,7,0,5
12027,0.0,5,3,1,5
12029,50.0,2,2,0,6
12031,0.0,1,3,170,1
12033,0.0,1,3,68,3
12035,0.0,1,2,18,3
12037,20.0,5,1,0,6
12039,0.0,0,9,0,3
12041,0.0,1,4,0,3
12043,0.0,4,0,0,6
12045,0.0,3,1,0,4
12047,0.0,2,1,0,6
12049,0.0,2,4,0,5
12051,0.0,3,4,0,5
12053,0.0,3,7,35,2
12055,0.0,4,6,17,4
12057,0.0,6,9,306,1
12059,0.0,4,0,0,6
12061,0.0,2,1,28,4
12063,0.0,10,1,0,6
12065,0.0,1,3,0,3
12067,0.0,2,0,0,6
12069,0.0,1,6,49,2
12071,0.0,6,9,152,3
12073,0.0,0,7,61,3
12075,0.0,5,5,0,6
12077,0.0,0,2,0,6
12079,0.0,2,3,0,6
12081,0.0,1,3,75,3
12083,0.0,4,18,41,3
12085,0.0,2,2,32,3
12086,0.0,6,1,512,1
12087,50.0,14,17,0,5
12089,0.0,1,12,0,2
12091,0.0,4,6,33,4
12093,0.0,4,8,0,5
12095,0.0,1,1,205,1
12097,0.0,0,8,33,2
12099,0.0,8,10,320,2
12101,0.0,1,6,127,2
12103,0.0,2,1,243,1
12105,0.0,6,23,125,3
12107,0.0,9,8,0,5
12109,0.0,2,5,34,2
12111,0.0,2,1,42,3
12113,0.0,1,3,22,3
12115,0.0,1,1,93,3
12117,0.0,0,1,85,2
12119,0.0,9,3,7,4
12121,0.0,6,1,0,6
12123,33.333333333333336,5,0,0,6
12125,0.0,2,1,0,6
12127,0.0,3,3,108,3
12129,0.0,1,4,0,3
12131,0.0,5,5,2,4
12133,0.0,3,4,0,6
13001,20.0,5,0,0,6
13003,25.0,3,0,0,6
13005,66.66666666666667,3,0,0,6
13007,0.0,0,2,0,4
13009,0.0,2,7,0,5
13011,0.0,3,1,0,6
13013,0.0,0,12,6,2
13015,0.0,0,4,11,2
13017,50.0,2,3,0,5
13019,0.0,1,5,0,6
13021,0.0,0,3,41,4
13023,0.0,1,2,0,6
13025,0.0,1,2,0,4
13027,0.0,1,4,0,4
13029,0.0,1,4,2,3
13031,27.272727272727273,2,10,0,5
13033,0.0,1,5,0,3
13035,0.0,0,3,0,2
13037,0.0,0,2,0,6
13039,0.0,2,9,0,5
13043,33.333333333333336,3,0,0,6
13045,0.0,4,9,4,2
13047,0.0,0,3,8,3
13049,0.0,0,2,0,6
13051,0.0,2,1,69,3
13053,0.0,1,1,3,3
13055,0.0,1,5,0,5
13057,0.0,0,3,23,2
13059,0.0,0,0,30,4
13061,0.0,1,0,0,6
13063,0.0,1,0,49,2
13065,0.0,2,0,0,6
13067,0.0,0,0,120,2
13069,40.0,4,5,0,5
13071,0.0,4,6,0,5
13073,0.0,0,3,17,3
13075,0.0,1,3,0,6
13077,0.0,0,7,13,2
13079,0.0,1,2,0,4
13081,0.0,1,5,0,5
13083,0.0,0,3,1,3
13085,0.0,0,2,1,2
13087,0.0,2,5,0,5
13089,0.0,1,0,144,2
13091,14.285714285714286,5,1,0,6
13093,0.0,2,1,0,6
13095,0.0,0,3,24,4
13097,0.0,0,2,18,2
13099,0.0,3,2,0,6
13101,0.0,1,1,0,4
13103,0.0,0,10,0,3
13105,0.0,3,2,0,6
13107,60.0,6,0,0,6
13109,0.0,3,0,0,6
13111,0.0,5,0,0,6
13113,0.0,0,2,18,2
13115,0.0,0,6,14,4
13117,0.0,0,1,44,2
13119,0.0,4,1,0,6
13121,0.0,2,0,202,1
13123,0.0,4,1,0,6
13125,0.0,1,0,0,6
13127,0.0,1,4,11,4
13129,0.0,4,5,0,5
13131,0.0,5,1,0,6
13133,0.0,5,2,0,6
13135,0.0,0,0,113,2
13137,0.0,2,6,0,5
13139,0.0,0,6,30,4
13141,0.0,2,0,0,5
13143,0.0,2,3,0,2
13145,0.0,0,5,0,3
13147,0.0,5,0,0,6
13149,0.0,2,1,0,2
13151,0.0,0,0,25,2
13153,0.0,0,1,22,4
13155,22.22222222222222,2,0,0,6
13157,0.0,4,5,2,5
13159,0.0,0,3,0,2
13161,83.33333333333333,3,0,0,6
13163,0.0,4,0,0,6
13165,40.0,1,1,0,6
13167,66.66666666666667,3,0,0,5
13169,0.0,0,5,1,4
13171,0.0,0,3,0,2
13173,0.0,0,2,0,4
13175,30.76923076923077,6,7,0,5
13177,0.0,0,2,3,4
13179,0.0,1,3,11,4
13181,0.0,0,2,0,3
13183,0.0,1,2,0,4
13185,0.0,0,4,21,4
13187,0.0,2,2,0,6
13189,0.0,4,1,0,3
13191,0.0,2,3,0,4
13193,0.0,2,2,0,6
13195,0.0,0,6,0,4
13197,0.0,0,2,0,3
13199,0.0,2,2,0,2
13201,0.0,3,0,0,6
13205,0.0,4,1,0,6
13207,0.0,1,4,0,4
13209,100.0,3,0,0,5
13211,0.0,1,4,0,2
13213,0.0,0,6,2,4
13215,0.0,0,0,53,3
13217,0.0,0,4,9,2
13219,0.0,0,3,3,4
13221,0.0,0,4,0,4
13223,0.0,0,2,17,2
13225,0.0,0,5,1,4
13227,0.0,2,4,0,2
13229,16.666666666666668,4,0,0,5
13231,0.0,0,4,0,2
13233,0.0,1,6,0,5
13235,0.0,0,3,0,4
13237,0.0,4,1,0,6
13239,0.0,1,0,0,6
13241,0.0,5,0,0,6
13243,0.0,1,1,0,6
13245,0.0,0,2,45,3
13247,0.0,0,0,15,2
13249,0.0,2,0,0,5
13251,25.0,4,1,0,6
13253,0.0,2,1,0,6
13255,0.0,0,4,8,2
13257,0.0,2,3,0,5
13259,0.0,1,1,0,6
13261,0.0,3,5,0,5
13263,0.0,0,3,0,6
13265,0.0,1,0,0,6
13267,0.0,4,1,0,6
13269,0.0,1,2,0,6
13271,80.0,3,0,0,6
13273,0.0,0,4,0,4
13275,0.0,5,6,0,5
13277,0.0,5,4,0,5
13279,66.66666666666667,2,4,0,5
13281,0.0,3,0,0,6
13283,100.0,2,0,0,6
13285,0.0,4,10,0,5
13287,0.0,2,0,0,6
13289,0.0,0,2,0,4
13291,0.0,6,0,0,6
13293,0.0,3,4,0,5
13295,0.0,2,4,7,3
13297,0.0,1,6,8,2
13299,16.666666666666668,1,8,0,5
13301,0.0,2,0,0,6
13303,20.0,5,0,0,6
13305,0.0,3,3,0,5
13307,0.0,0,2,0,6
13309,100.0,2,0,0,6
13311,0.0,1,4,0,6
13313,0.0,0,4,14,4
13315,0.0,4,0,0,6
13317,0.0,4,0,0,6
13319,0.0,2,1,0,6
13321,0.0,1,4,0,4
15001,100.0,33,17,0,5
15003,2.857142857142857,6,37,201,3
15005,100.0,2,0,0,4
15007,100.0,11,6,0,5
15009,42.857142857142854,9,19,10,4
16001,0.0,0,3,56,3
16003,100.0,2,0,0,6
16005,0.0,0,4,18,4
16007,57.142857142857146,2,0,0,6
16009,14.285714285714286,2,0,0,6
16011,0.0,2,6,0,5
16013,100.0,2,2,0,5
16015,25.0,0,1,0,3
16017,26.666666666666668,6,3,0,5
16019,9.090909090909092,0,2,19,4
16021,100.0,2,0,0,6
16023,100.0,1,0,0,4
16025,100.0,1,0,0,5
16027,0.0,1,4,24,3
16029,25.0,2,0,0,6
16031,75.0,3,3,0,5
16033,0.0,1,0,0,6
16035,42.857142857142854,2,0,0,6
16037,100.0,1,0,0,6
16039,0.0,2,3,0,5
16041,0.0,2,0,0,4
16043,12.5,3,0,0,5
16045,16.666666666666668,0,3,0,3
16047,100.0,2,0,0,6
16049,76.92307692307692,5,0,0,6
16051,0.0,1,3,0,4
16053,100.0,2,3,0,5
16055,0.0,1,6,18,4
16057,20.0,2,5,0,5
16059,100.0,3,0,0,6
16061,14.285714285714286,2,1,0,6
16063,100.0,1,0,0,5
16065,0.0,2,4,0,5
16067,100.0,3,2,0,5
16069,0.0,0,2,8,4
16071,0.0,1,0,0,6
16073,20.0,1,2,0,3
16075,0.0,1,3,0,5
16077,0.0,1,1,0,6
16079,30.0,3,0,0,6
16081,20.0,1,0,0,5
16083,100.0,6,8,0,5
16085,100.0,3,0,0,6
16087,60.0,3,0,0,6
17001,100.0,5,13,0,5
17003,0.0,2,2,0,4
17005,0.0,3,1,0,2
17007,0.0,0,1,6,3
17009,66.66666666666667,2,0,0,6
17011,0.0,8,2,0,5
17013,0.0,1,1,0,2
17015,0.0,6,0,0,6
17017,0.0,4,1,0,6
17019,0.0,0,10,33,4
17021,0.0,5,5,0,5
17023,0.0,3,1,0,6
17025,100.0,4,0,0,6
17027,0.0,5,3,0,2
17029,0.0,3,9,0,5
17031,0.0,5,0,1314,1
17033,22.22222222222222,6,0,0,6
17035,0.0,3,0,0,5
17037,0.0,0,6,15,2
17039,0.0,2,3,0,4
17041,0.0,3,2,0,6
17043,0.0,0,0,216,2
17045,0.0,5,0,0,6
17047,0.0,3,0,0,6
17049,45.45454545454545,4,4,0,5
17051,18.181818181818183,7,0,0,6
17053,0.0,5,0,0,4
17055,0.0,11,1,0,6
17057,0.0,6,6,0,5
17059,0.0,2,0,0,6
17061,0.0,5,0,0,6
17063,0.0,1,7,2,2
17065,0.0,3,0,0,6
17067,100.0,6,1,0,5
17069,0.0,2,0,0,6
17071,80.0,3,0,0,5
17073,0.0,5,7,1,3
17075,0.0,6,3,0,6
17077,0.0,1,6,7,4
17079,46.666666666666664,3,0,0,6
17081,0.0,4,7,0,5
17083,0.0,2,4,0,2
17085,0.0,5,0,1,6
17087,0.0,1,3,0,6
17089,0.0,0,2,80,2
17091,0.0,2,6,21,4
17093,0.0,0,0,10,2
17095,0.0,4,12,0,5
17097,0.0,2,41,111,2
17099,0.0,8,20,0,5
17101,20.0,5,0,0,6
17103,0.0,5,4,0,5
17105,0.0,6,4,0,5
17107,0.0,3,5,0,5
17109,52.94117647058823,4,6,0,5
17111,0.0,2,22,28,2
17113,0.0,0,9,32,4
17115,0.0,0,4,30,4
17117,0.0,5,8,0,2
17119,0.0,0,8,53,2
17121,33.333333333333336,8,4,0,5
17123,0.0,3,2,0,3
