id,lat,long
H191,36.4003588,-93.74440159999999
H192,34.3046469,-89.91678019999999
H193,36.8447837,-99.6284706
H194,37.133018,-97.03839099999999
H195,36.2896988,-90.9972303
H196,34.930121,-104.6933648
H197,29.9565584,-91.0337053
H198,41.7947322,-85.40740640000001
H199,34.9177348,-84.3743296
H200,36.79791960000001,-97.2999387
H201,36.2771154,-87.06562629999999
H202,31.5323761,-94.10297349999999
H203,31.7115534,-91.0606607
H204,36.2884736,-97.2997278
H205,32.76788,-99.89518749999999
H206,34.7871013,-89.41679859999999
H207,31.307036,-96.89433609999999
H208,31.6032956,-83.25140569999999
H209,33.6604045,-101.2462245
