Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI,Total Population (ACS1),Labor Force (ACS1),Unemployed (ACS1),Median Income (ACS1),Total Population (ACS5),Labor Force (ACS5),Unemployed (ACS5),Median Income (ACS5),Total Population (ACSSE),Labor Force (ACSSE),Unemployed (ACSSE),Median Income (ACSSE),FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
2016,01007,531,1213,23022,495,1080,21288,,,,,22572.0,18496.0,643.0,39776.0,22643.0,18498.0,471.0,42301.0,0.0,0.0,4.0,0.0,2.0
2017,01007,376,856,15189,450,954,18686,,,,,22580.0,18415.0,728.0,43404.0,22668.0,18039.0,1137.0,58175.0,0.0,0.0,4.0,0.0,2.0
2018,01007,386,802,16120,367,803,16657,,,,,22527.0,18470.0,658.0,45340.0,22400.0,18958.0,280.0,51599.0,0.0,0.0,4.0,0.0,2.0
2019,01007,399,857,17647,418,900,17248,,,,,22493.0,18492.0,659.0,47542.0,22394.0,18067.0,375.0,45351.0,0.0,0.0,4.0,0.0,2.0
2020,01007,586,1045,21151,404,779,17244,,,,,22374.0,18421.0,667.0,51721.0,,,,,0.0,0.0,4.0,0.0,2.0
2011,01009,1257,2767,44692,1252,2808,46313,,,,,57140.0,44730.0,2422.0,45404.0,,,,,0.0,5.0,4.0,0.0,2.0
2012,01009,1230,2779,44021,1229,2689,73781,,,,,57466.0,45199.0,2635.0,45192.0,,,,,0.0,5.0,4.0,0.0,2.0
2013,01009,1114,2490,41733,1086,2411,39470,,,,,57623.0,45482.0,2483.0,44145.0,,,,,0.0,5.0,4.0,0.0,2.0
2014,01009,901,1944,33035,951,1960,33190,,,,,57645.0,45634.0,2291.0,44409.0,57719.0,45844.0,2079.0,45524.0,0.0,5.0,4.0,0.0,2.0
2015,01009,1066,2342,41937,1064,2257,42357,,,,,57710.0,45839.0,1843.0,45813.0,57673.0,45887.0,824.0,53491.0,0.0,5.0,4.0,0.0,2.0
2016,01009,1517,3533,70730,1331,2758,55774,,,,,57704.0,46007.0,1367.0,46212.0,57704.0,46404.0,821.0,44585.0,0.0,5.0,4.0,0.0,2.0
2017,01009,1211,2482,52661,1148,2459,51327,,,,,57667.0,45924.0,1091.0,47412.0,58013.0,45933.0,451.0,44254.0,0.0,5.0,4.0,0.0,2.0
2018,01009,1154,2441,52302,1067,2184,49136,,,,,57645.0,45915.0,909.0,48695.0,57840.0,46177.0,740.0,47895.0,0.0,5.0,4.0,0.0,2.0
2019,01009,1434,3039,73907,1248,2673,60874,,,,,57681.0,45907.0,763.0,49358.0,57826.0,45566.0,1198.0,43485.0,0.0,5.0,4.0,0.0,2.0
2020,01009,1420,2834,68157,1197,2342,54365,,,,,57755.0,46083.0,1253.0,48922.0,,,,,0.0,5.0,4.0,0.0,2.0
2011,01011,347,745,10311,229,543,7128,,,,,10877.0,8818.0,737.0,31955.0,,,,,0.0,0.0,3.0,0.0,6.0
2012,01011,196,421,4545,221,497,5315,,,,,10779.0,8685.0,681.0,34500.0,,,,,0.0,0.0,3.0,0.0,6.0
2013,01011,177,382,4392,191,421,5024,,,,,10746.0,8693.0,718.0,32033.0,,,,,0.0,0.0,3.0,0.0,6.0
2014,01011,136,298,3314,190,387,5006,,,,,10693.0,8633.0,809.0,34804.0,,,,,0.0,0.0,3.0,0.0,6.0
2015,01011,153,342,4759,183,370,4938,,,,,10678.0,8653.0,847.0,31938.0,,,,,0.0,0.0,3.0,0.0,6.0
2016,01011,155,309,6075,195,427,7761,,,,,10552.0,8547.0,638.0,29335.0,,,,,0.0,0.0,3.0,0.0,6.0
2017,01011,180,400,5131,175,373,5388,,,,,10478.0,8517.0,592.0,29655.0,,,,,0.0,0.0,3.0,0.0,6.0
2018,01011,134,293,4292,173,355,4923,,,,,10352.0,8413.0,490.0,32152.0,,,,,0.0,0.0,3.0,0.0,6.0
2019,01011,136,306,5665,201,409,7865,,,,,10248.0,8375.0,174.0,37785.0,,,,,0.0,0.0,3.0,0.0,6.0
2020,01011,204,357,7201,153,284,4897,,,,,10173.0,8139.0,139.0,33866.0,,,,,0.0,0.0,3.0,0.0,6.0
