Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI,Total Population (ACS1),Labor Force (ACS1),Unemployed (ACS1),Median Income (ACS1),Total Population (ACS5),Labor Force (ACS5),Unemployed (ACS5),Median Income (ACS5),Total Population (ACSSE),Labor Force (ACSSE),Unemployed (ACSSE),Median Income (ACSSE),FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
2011,19121,423,852,-16210,411,874,18660,,,,,15591.0,11743.0,446.0,56333.0,,,,,0.0,0.0,3.0,0.0,3.0
2012,19121,419,929,22975,409,803,18813,,,,,15630.0,11883.0,470.0,56765.0,,,,,0.0,0.0,3.0,0.0,3.0
2013,19121,357,767,20445,383,749,19164,,,,,15606.0,11869.0,550.0,57581.0,,,,,0.0,0.0,3.0,0.0,3.0
2014,19121,289,553,15158,297,541,13806,,,,,15629.0,11881.0,627.0,56661.0,,,,,0.0,0.0,3.0,0.0,3.0
2015,19121,445,968,26287,392,777,17725,,,,,15644.0,11966.0,467.0,60060.0,,,,,0.0,0.0,3.0,0.0,3.0
2016,19121,695,1505,44515,513,1064,30871,,,,,15661.0,12071.0,393.0,60326.0,,,,,0.0,0.0,3.0,0.0,3.0
2017,19121,483,981,30662,453,835,24230,,,,,15720.0,12115.0,441.0,60077.0,,,,,0.0,0.0,3.0,0.0,3.0
2018,19121,440,895,28053,393,750,23988,,,,,15890.0,12347.0,344.0,64512.0,,,,,0.0,0.0,3.0,0.0,3.0
2019,19121,517,1203,37085,446,830,26102,,,,,16012.0,12542.0,240.0,66316.0,,,,,0.0,0.0,3.0,0.0,3.0
2020,19121,533,1075,37207,465,889,29012,,,,,16148.0,12639.0,274.0,71811.0,,,,,0.0,0.0,3.0,0.0,3.0
2011,19123,473,972,18304,522,1074,20793,,,,,22433.0,17481.0,882.0,46477.0,,,,,23.529411764705884,3.0,4.0,0.0,5.0
2012,19123,442,906,16805,469,912,23396,,,,,22432.0,17531.0,942.0,47758.0,,,,,23.529411764705884,3.0,4.0,0.0,5.0
2013,19123,420,831,17815,492,980,21982,,,,,22428.0,17634.0,917.0,47967.0,,,,,23.529411764705884,3.0,4.0,0.0,5.0
2014,19123,341,643,12990,391,686,14737,,,,,22420.0,17610.0,973.0,48750.0,22370.0,17767.0,877.0,44710.0,23.529411764705884,3.0,4.0,0.0,5.0
2015,19123,433,863,16494,529,964,26025,,,,,22396.0,17574.0,948.0,48726.0,22324.0,17689.0,842.0,48979.0,23.529411764705884,3.0,4.0,0.0,5.0
2016,19123,600,1193,26615,667,1311,34230,,,,,22324.0,17584.0,737.0,49599.0,22181.0,17471.0,954.0,50069.0,23.529411764705884,3.0,4.0,0.0,5.0
2017,19123,427,825,19285,517,1023,23268,,,,,22301.0,17522.0,646.0,50568.0,22235.0,17573.0,435.0,60400.0,23.529411764705884,3.0,4.0,0.0,5.0
2018,19123,464,841,20498,483,838,23149,,,,,22208.0,17498.0,601.0,52950.0,22000.0,17026.0,308.0,55888.0,23.529411764705884,3.0,4.0,0.0,5.0
2019,19123,508,974,23052,563,1027,27581,,,,,22164.0,17477.0,446.0,54825.0,22095.0,17419.0,278.0,56663.0,23.529411764705884,3.0,4.0,0.0,5.0
2020,19123,490,868,24395,542,933,26404,,,,,22351.0,17641.0,365.0,56417.0,,,,,23.529411764705884,3.0,4.0,0.0,5.0
2011,19125,682,1371,28253,721,1473,39537,,,,,33372.0,26070.0,889.0,53730.0,,,,,0.0,7.0,1.0,0.0,6.0
2012,19125,667,1400,38573,734,1394,32238,,,,,33388.0,26071.0,868.0,53684.0,,,,,0.0,7.0,1.0,0.0,6.0
2013,19125,659,1366,30286,663,1302,34044,,,,,33318.0,26088.0,775.0,54723.0,,,,,0.0,7.0,1.0,0.0,6.0
2014,19125,437,832,19558,486,861,20849,,,,,33308.0,26081.0,765.0,55419.0,33365.0,26084.0,884.0,55409.0,0.0,7.0,1.0,0.0,6.0
2015,19125,714,1369,34636,715,1363,37482,,,,,33248.0,26076.0,705.0,54693.0,33294.0,26286.0,250.0,52449.0,0.0,7.0,1.0,0.0,6.0
2016,19125,1018,2068,62197,1016,1925,53981,,,,,33197.0,26068.0,692.0,57412.0,33189.0,26134.0,554.0,60523.0,0.0,7.0,1.0,0.0,6.0
2017,19125,735,1435,39768,726,1269,38122,,,,,33127.0,26112.0,637.0,57917.0,33105.0,26316.0,274.0,59127.0,0.0,7.0,1.0,0.0,6.0
2018,19125,677,1328,39546,707,1321,41334,,,,,33207.0,26171.0,521.0,58492.0,33407.0,26381.0,310.0,58257.0,0.0,7.0,1.0,0.0,6.0
2019,19125,790,1486,46690,772,1555,47819,,,,,33172.0,26321.0,382.0,61038.0,33253.0,26602.0,618.0,63358.0,0.0,7.0,1.0,0.0,6.0
2020,19125,767,1533,46087,739,1327,48925,,,,,33193.0,26346.0,431.0,64136.0,,,,,0.0,7.0,1.0,0.0,6.0
2011,19127,809,1696,28766,918,1812,32602,,,,,40398.0,31380.0,1437.0,47691.0,,,,,0.0,4.0,6.0,0.0,5.0
2012,19127,777,1615,26768,948,1844,38347,,,,,40568.0,31562.0,1446.0,49259.0,,,,,0.0,4.0,6.0,0.0,5.0
2013,19127,722,1370,27012,852,1669,31389,,,,,40800.0,31728.0,1423.0,51555.0,,,,,0.0,4.0,6.0,0.0,5.0
2014,19127,536,982,18963,617,1170,22398,,,,,40922.0,31810.0,1374.0,52354.0,40866.0,30795.0,1146.0,50425.0,0.0,4.0,6.0,0.0,5.0
2015,19127,730,1456,31052,892,1772,42960,,,,,40962.0,31845.0,1313.0,53351.0,40746.0,31559.0,1299.0,56250.0,0.0,4.0,6.0,0.0,5.0
2016,19127,1073,2147,45747,1216,2244,60063,,,,,40735.0,31753.0,1212.0,54193.0,40312.0,31481.0,1127.0,54893.0,0.0,4.0,6.0,0.0,5.0
2017,19127,793,1517,31629,934,1777,42598,,,,,40476.0,31422.0,1065.0,52752.0,40288.0,30287.0,611.0,49555.0,0.0,4.0,6.0,0.0,5.0
2018,19127,703,1334,29983,921,1740,48470,,,,,40271.0,31188.0,1019.0,54027.0,39981.0,30572.0,1102.0,61680.0,0.0,4.0,6.0,0.0,5.0
2019,19127,836,1708,38275,896,1635,50354,,,,,39964.0,30961.0,1002.0,56437.0,39369.0,30826.0,1189.0,51950.0,0.0,4.0,6.0,0.0,5.0
2020,19127,743,1350,36694,926,1665,43327,,,,,39804.0,30865.0,1035.0,58735.0,,,,,0.0,4.0,6.0,0.0,5.0
2011,19129,416,841,20231,399,795,16264,,,,,15112.0,11693.0,357.0,61796.0,,,,,0.0,0.0,5.0,0.0,3.0
2012,19129,378,797,27208,388,800,17537,,,,,15028.0,11653.0,341.0,62908.0,,,,,0.0,0.0,5.0,0.0,3.0
2013,19129,369,781,18054,383,754,17709,,,,,14983.0,11743.0,328.0,63076.0,,,,,0.0,0.0,5.0,0.0,3.0
2014,19129,230,463,11334,257,418,11366,,,,,14946.0,11777.0,289.0,65160.0,,,,,0.0,0.0,5.0,0.0,3.0
2015,19129,407,903,27128,347,666,17960,,,,,14862.0,11742.0,280.0,63979.0,,,,,0.0,0.0,5.0,0.0,3.0
2016,19129,555,1244,34128,540,1082,27927,,,,,14841.0,11751.0,293.0,66203.0,,,,,0.0,0.0,5.0,0.0,3.0
2017,19129,364,733,19693,361,702,18823,,,,,14933.0,11821.0,242.0,67949.0,,,,,0.0,0.0,5.0,0.0,3.0
2018,19129,319,636,20555,425,799,22484,,,,,14957.0,11826.0,292.0,69177.0,,,,,0.0,0.0,5.0,0.0,3.0
2019,19129,421,897,24807,429,782,24345,,,,,15034.0,11801.0,309.0,72079.0,,,,,0.0,0.0,5.0,0.0,3.0
2020,19129,412,819,26557,385,711,24087,,,,,15023.0,11915.0,309.0,75137.0,,,,,0.0,0.0,5.0,0.0,3.0
2011,19131,212,392,8902,204,367,6611,,,,,10794.0,8462.0,230.0,49389.0,,,,,8.333333333333334,3.0,0.0,0.0,6.0
2012,19131,222,441,9840,249,436,8805,,,,,10761.0,8510.0,195.0,50574.0,,,,,8.333333333333334,3.0,0.0,0.0,6.0
2013,19131,171,300,6949,206,391,7324,,,,,10739.0,8489.0,191.0,51078.0,,,,,8.333333333333334,3.0,0.0,0.0,6.0
2014,19131,125,214,4849,141,217,7418,,,,,10744.0,8472.0,237.0,47326.0,,,,,8.333333333333334,3.0,0.0,0.0,6.0
2015,19131,162,326,6551,189,344,7792,,,,,10762.0,8459.0,177.0,49488.0,,,,,8.333333333333334,3.0,0.0,0.0,6.0
2016,19131,217,414,9777,250,451,9186,,,,,10757.0,8470.0,196.0,52564.0,,,,,8.333333333333334,3.0,0.0,0.0,6.0
2017,19131,224,411,9690,183,307,10637,,,,,10663.0,8402.0,193.0,53675.0,,,,,8.333333333333334,3.0,0.0,0.0,6.0
2018,19131,180,288,8315,177,312,7631,,,,,10631.0,8431.0,167.0,55553.0,,,,,8.333333333333334,3.0,0.0,0.0,6.0
2019,19131,191,354,8904,196,312,10537,,,,,10608.0,8460.0,124.0,58302.0,,,,,8.333333333333334,3.0,0.0,0.0,6.0
2020,19131,187,332,9443,165,272,7241,,,,,10588.0,8387.0,82.0,60260.0,,,,,8.333333333333334,3.0,0.0,0.0,6.0
2011,19133,197,391,7819,207,395,6871,,,,,9299.0,7486.0,254.0,42283.0,,,,,0.0,4.0,0.0,0.0,6.0
2012,19133,181,350,7764,200,371,8203,,,,,9242.0,7458.0,293.0,42832.0,,,,,0.0,4.0,0.0,0.0,6.0
2013,19133,170,342,6378,184,312,7432,,,,,9208.0,7420.0,287.0,42025.0,,,,,0.0,4.0,0.0,0.0,6.0
2014,19133,129,224,4314,136,226,4565,,,,,9149.0,7380.0,222.0,41238.0,,,,,0.0,4.0,0.0,0.0,6.0
2015,19133,162,311,6784,185,325,6797,,,,,9088.0,7440.0,243.0,40302.0,,,,,0.0,4.0,0.0,0.0,6.0
2016,19133,273,552,10786,252,484,12399,,,,,9013.0,7430.0,182.0,41455.0,,,,,0.0,4.0,0.0,0.0,6.0
2017,19133,163,338,7637,200,342,8140,,,,,8865.0,7283.0,143.0,41598.0,,,,,0.0,4.0,0.0,0.0,6.0
2018,19133,189,368,8215,199,388,8840,,,,,8796.0,7188.0,135.0,45252.0,,,,,0.0,4.0,0.0,0.0,6.0
2019,19133,164,297,7477,174,342,7839,,,,,8730.0,7122.0,134.0,47605.0,,,,,0.0,4.0,0.0,0.0,6.0
2020,19133,185,338,8555,177,327,9893,,,,,8675.0,7041.0,102.0,51866.0,,,,,0.0,4.0,0.0,0.0,6.0
2011,19135,182,347,6147,184,386,7512,,,,,7949.0,6360.0,312.0,43913.0,,,,,42.85714285714285,3.0,0.0,0.0,6.0
2012,19135,137,251,4970,183,363,6362,,,,,7979.0,6372.0,247.0,45266.0,,,,,42.85714285714285,3.0,0.0,0.0,6.0
2013,19135,146,327,5584,156,288,7084,,,,,8010.0,6462.0,240.0,45997.0,,,,,42.85714285714285,3.0,0.0,0.0,6.0
2014,19135,118,230,4080,128,232,7603,,,,,8019.0,6377.0,253.0,47297.0,,,,,42.85714285714285,3.0,0.0,0.0,6.0
2015,19135,158,297,6442,157,291,6026,,,,,8002.0,6281.0,237.0,46304.0,,,,,42.85714285714285,3.0,0.0,0.0,6.0
2016,19135,187,392,7808,214,392,8529,,,,,7964.0,6271.0,229.0,47515.0,,,,,42.85714285714285,3.0,0.0,0.0,6.0
2017,19135,171,316,7694,140,258,5087,,,,,7912.0,6182.0,223.0,50179.0,,,,,42.85714285714285,3.0,0.0,0.0,6.0
2018,19135,130,233,6599,150,263,5397,,,,,7863.0,6040.0,230.0,49549.0,,,,,42.85714285714285,3.0,0.0,0.0,6.0
2019,19135,175,356,7337,136,284,6510,,,,,7807.0,6147.0,155.0,58269.0,,,,,42.85714285714285,3.0,0.0,0.0,6.0
2020,19135,177,329,9913,147,262,5555,,,,,7761.0,6173.0,195.0,59489.0,,,,,42.85714285714285,3.0,0.0,0.0,6.0
2011,19137,240,488,9267,253,516,8014,,,,,10792.0,8578.0,393.0,38072.0,,,,,11.11111111111111,4.0,0.0,0.0,6.0
2012,19137,234,478,8462,237,469,8147,,,,,10710.0,8616.0,487.0,40530.0,,,,,11.11111111111111,4.0,0.0,0.0,6.0
2013,19137,201,419,7101,238,470,8112,,,,,10625.0,8559.0,493.0,44281.0,,,,,11.11111111111111,4.0,0.0,0.0,6.0
2014,19137,143,254,4521,159,308,6132,,,,,10549.0,8459.0,523.0,43566.0,,,,,11.11111111111111,4.0,0.0,0.0,6.0
2015,19137,188,357,6972,189,368,7552,,,,,10465.0,8447.0,494.0,42418.0,,,,,11.11111111111111,4.0,0.0,0.0,6.0
2016,19137,336,664,12834,332,653,12778,,,,,10380.0,8424.0,437.0,42641.0,,,,,11.11111111111111,4.0,0.0,0.0,6.0
2017,19137,227,455,9268,269,500,12192,,,,,10239.0,8243.0,349.0,43674.0,,,,,11.11111111111111,4.0,0.0,0.0,6.0
2018,19137,250,504,11176,213,413,10952,,,,,10155.0,8126.0,346.0,47648.0,,,,,11.11111111111111,4.0,0.0,0.0,6.0
2019,19137,224,430,9525,222,414,9931,,,,,10053.0,8045.0,206.0,51696.0,,,,,11.11111111111111,4.0,0.0,0.0,6.0
2020,19137,248,460,10079,234,402,9994,,,,,10016.0,7958.0,169.0,55761.0,,,,,11.11111111111111,4.0,0.0,0.0,6.0
2011,19139,947,1915,37027,946,1864,40348,,,,,42634.0,32936.0,1798.0,51134.0,,,,,0.0,2.0,8.0,0.0,5.0
2012,19139,939,1921,36881,1019,2051,49075,,,,,42729.0,33021.0,1620.0,51675.0,,,,,0.0,2.0,8.0,0.0,5.0
2013,19139,903,1755,38311,934,1797,44936,,,,,42798.0,33154.0,1748.0,51425.0,,,,,0.0,2.0,8.0,0.0,5.0
2014,19139,710,1309,28756,787,1466,32479,,,,,42857.0,33043.0,1365.0,52899.0,42903.0,33294.0,682.0,54129.0,0.0,2.0,8.0,0.0,5.0
2015,19139,905,1778,39054,1045,2013,45413,,,,,42913.0,33190.0,1029.0,53676.0,43011.0,33450.0,626.0,50453.0,0.0,2.0,8.0,0.0,5.0
2016,19139,1161,2249,53548,1338,2531,67645,,,,,42949.0,33181.0,1000.0,55971.0,42940.0,32948.0,718.0,57551.0,0.0,2.0,8.0,0.0,5.0
2017,19139,871,1620,37814,1005,1898,52058,,,,,42923.0,33275.0,782.0,56398.0,42880.0,33707.0,538.0,58475.0,0.0,2.0,8.0,0.0,5.0
2018,19139,807,1531,37381,1021,1887,57212,,,,,42950.0,33407.0,533.0,57348.0,42929.0,33642.0,608.0,54679.0,0.0,2.0,8.0,0.0,5.0
2019,19139,910,1703,41950,1037,1942,52039,,,,,42889.0,33417.0,666.0,58453.0,42664.0,33342.0,1215.0,59716.0,0.0,2.0,8.0,0.0,5.0
2020,19139,788,1388,39147,985,1739,48452,,,,,42703.0,33356.0,732.0,60435.0,,,,,0.0,2.0,8.0,0.0,5.0
2011,19141,321,644,10781,323,613,13978,,,,,14352.0,11495.0,225.0,45995.0,,,,,46.66666666666666,4.0,0.0,0.0,6.0
2012,19141,362,729,13893,373,758,12467,,,,,14302.0,11465.0,232.0,45194.0,,,,,46.66666666666666,4.0,0.0,0.0,6.0
2013,19141,292,577,9610,375,722,14252,,,,,14249.0,11422.0,230.0,48185.0,,,,,46.66666666666666,4.0,0.0,0.0,6.0
2014,19141,239,447,4467,207,377,7773,,,,,14173.0,11312.0,215.0,52458.0,,,,,46.66666666666666,4.0,0.0,0.0,6.0
2015,19141,313,615,13209,285,554,12299,,,,,14092.0,11209.0,208.0,55227.0,,,,,46.66666666666666,4.0,0.0,0.0,6.0
2016,19141,417,812,17694,430,825,20892,,,,,14055.0,11198.0,201.0,52474.0,,,,,46.66666666666666,4.0,0.0,0.0,6.0
2017,19141,309,576,12698,348,657,12903,,,,,13944.0,11090.0,175.0,56314.0,,,,,46.66666666666666,4.0,0.0,0.0,6.0
2018,19141,296,574,13078,322,587,16708,,,,,13911.0,11027.0,169.0,53045.0,,,,,46.66666666666666,4.0,0.0,0.0,6.0
2019,19141,306,542,12256,350,636,19050,,,,,13835.0,10967.0,139.0,53703.0,,,,,46.66666666666666,4.0,0.0,0.0,6.0
2020,19141,385,697,18119,346,626,21295,,,,,13796.0,10941.0,130.0,57200.0,,,,,46.66666666666666,4.0,0.0,0.0,6.0
2011,19143,133,285,4038,164,311,5864,,,,,6506.0,5123.0,107.0,45696.0,,,,,66.66666666666667,2.0,0.0,0.0,6.0
2012,19143,137,302,4610,121,266,4793,,,,,6413.0,5108.0,116.0,45951.0,,,,,66.66666666666667,2.0,0.0,0.0,6.0
2013,19143,125,235,4090,127,218,5154,,,,,6335.0,5089.0,104.0,48659.0,,,,,66.66666666666667,2.0,0.0,0.0,6.0
2014,19143,94,189,3423,116,224,4665,,,,,6279.0,5032.0,120.0,50700.0,,,,,66.66666666666667,2.0,0.0,0.0,6.0
2015,19143,126,251,5212,146,303,6057,,,,,6211.0,4962.0,111.0,49448.0,,,,,66.66666666666667,2.0,0.0,0.0,6.0
2016,19143,142,300,5265,173,343,6906,,,,,6154.0,4913.0,93.0,48457.0,,,,,66.66666666666667,2.0,0.0,0.0,6.0
2017,19143,123,246,4742,145,286,7125,,,,,6149.0,4851.0,54.0,53604.0,,,,,66.66666666666667,2.0,0.0,0.0,6.0
2018,19143,134,240,5217,127,225,5976,,,,,6115.0,4815.0,81.0,58125.0,,,,,66.66666666666667,2.0,0.0,0.0,6.0
2019,19143,124,258,5309,125,286,5409,,,,,6052.0,4786.0,93.0,59725.0,,,,,66.66666666666667,2.0,0.0,0.0,6.0
2020,19143,126,245,4934,122,222,5449,,,,,6016.0,4759.0,96.0,61167.0,,,,,66.66666666666667,2.0,0.0,0.0,6.0
2011,19145,322,623,12279,387,757,14879,,,,,16029.0,13010.0,396.0,41503.0,,,,,60.0,6.0,0.0,0.0,6.0
2012,19145,346,676,14077,342,672,15815,,,,,15902.0,12978.0,443.0,41803.0,,,,,60.0,6.0,0.0,0.0,6.0
2013,19145,281,524,10765,350,630,12635,,,,,15838.0,12941.0,459.0,43010.0,,,,,60.0,6.0,0.0,0.0,6.0
2014,19145,236,425,7353,227,365,8958,,,,,15737.0,12894.0,419.0,44786.0,,,,,60.0,6.0,0.0,0.0,6.0
2015,19145,286,541,12703,359,641,14360,,,,,15660.0,12728.0,383.0,43912.0,,,,,60.0,6.0,0.0,0.0,6.0
2016,19145,449,869,18176,469,881,20165,,,,,15552.0,12758.0,322.0,46128.0,,,,,60.0,6.0,0.0,0.0,6.0
2017,19145,268,534,12768,352,655,14494,,,,,15393.0,12746.0,293.0,46708.0,,,,,60.0,6.0,0.0,0.0,6.0
2018,19145,303,575,13309,304,537,12677,,,,,15363.0,12729.0,319.0,49974.0,,,,,60.0,6.0,0.0,0.0,6.0
2019,19145,358,681,15874,354,708,16756,,,,,15268.0,12623.0,340.0,51867.0,,,,,60.0,6.0,0.0,0.0,6.0
2020,19145,435,705,17132,346,584,15855,,,,,15205.0,12643.0,383.0,51196.0,,,,,60.0,6.0,0.0,0.0,6.0
2011,19147,208,385,8336,242,443,9839,,,,,9478.0,7622.0,331.0,44063.0,,,,,100.0,4.0,0.0,0.0,6.0
2012,19147,207,371,8120,234,435,12992,,,,,9402.0,7548.0,316.0,40500.0,,,,,100.0,4.0,0.0,0.0,6.0
2013,19147,193,338,6483,211,385,9339,,,,,9352.0,7508.0,245.0,44663.0,,,,,100.0,4.0,0.0,0.0,6.0
2014,19147,142,271,4989,148,237,6694,,,,,9263.0,7495.0,182.0,46334.0,,,,,100.0,4.0,0.0,0.0,6.0
2015,19147,192,329,7931,226,394,9745,,,,,9208.0,7412.0,139.0,47113.0,,,,,100.0,4.0,0.0,0.0,6.0
2016,19147,279,533,12798,299,545,11965,,,,,9155.0,7305.0,98.0,49109.0,,,,,100.0,4.0,0.0,0.0,6.0
2017,19147,179,297,7128,208,347,8707,,,,,9110.0,7299.0,63.0,50470.0,,,,,100.0,4.0,0.0,0.0,6.0
2018,19147,181,328,7226,202,337,15052,,,,,9055.0,7242.0,53.0,52462.0,,,,,100.0,4.0,0.0,0.0,6.0
2019,19147,209,378,10125,207,350,8743,,,,,9003.0,7090.0,67.0,52932.0,,,,,100.0,4.0,0.0,0.0,6.0
2020,19147,203,367,10863,219,403,11871,,,,,8941.0,7098.0,87.0,56437.0,,,,,100.0,4.0,0.0,0.0,6.0
2011,19149,502,980,19055,496,942,19385,,,,,24915.0,19318.0,318.0,56387.0,,,,,0.0,4.0,2.0,0.0,4.0
2012,19149,533,1063,24788,560,1059,28505,,,,,24911.0,19413.0,330.0,58916.0,,,,,0.0,4.0,2.0,0.0,4.0
2013,19149,536,1104,23166,569,1110,26646,,,,,24923.0,19381.0,471.0,58888.0,,,,,0.0,4.0,2.0,0.0,4.0
2014,19149,417,810,17280,454,799,19470,,,,,24899.0,19341.0,472.0,57583.0,24874.0,19596.0,386.0,58694.0,0.0,4.0,2.0,0.0,4.0
2015,19149,610,1279,28894,555,1023,26200,,,,,24853.0,19379.0,462.0,57130.0,24800.0,19353.0,225.0,58869.0,0.0,4.0,2.0,0.0,4.0
2016,19149,722,1529,35447,739,1399,37768,,,,,24972.0,19523.0,473.0,60339.0,25200.0,19564.0,353.0,66512.0,0.0,4.0,2.0,0.0,4.0
2017,19149,562,1076,25574,631,1235,33995,,,,,25027.0,19555.0,389.0,61316.0,25220.0,20077.0,172.0,63544.0,0.0,4.0,2.0,0.0,4.0
2018,19149,588,1087,28890,551,950,29955,,,,,25039.0,19540.0,307.0,64296.0,25095.0,19531.0,315.0,61358.0,0.0,4.0,2.0,0.0,4.0
2019,19149,638,1280,32990,601,1113,33805,,,,,25068.0,19598.0,241.0,67297.0,25177.0,19504.0,203.0,67834.0,0.0,4.0,2.0,0.0,4.0
2020,19149,577,1101,29977,623,1103,31247,,,,,25141.0,19681.0,286.0,71147.0,,,,,0.0,4.0,2.0,0.0,4.0
2011,19151,184,352,6329,198,401,7998,,,,,7407.0,6015.0,193.0,42545.0,,,,,100.0,3.0,0.0,0.0,6.0
2012,19151,225,465,9166,175,328,6525,,,,,7307.0,5955.0,196.0,42138.0,,,,,100.0,3.0,0.0,0.0,6.0
2013,19151,153,321,5328,185,368,6403,,,,,7243.0,5886.0,176.0,44073.0,,,,,100.0,3.0,0.0,0.0,6.0
2014,19151,88,179,3357,115,211,4067,,,,,7191.0,5834.0,162.0,45500.0,,,,,100.0,3.0,0.0,0.0,6.0
2015,19151,127,243,4861,163,283,6321,,,,,7127.0,5750.0,181.0,45069.0,,,,,100.0,3.0,0.0,0.0,6.0
2016,19151,187,357,6433,191,368,7152,,,,,7061.0,5690.0,172.0,46250.0,,,,,100.0,3.0,0.0,0.0,6.0
2017,19151,134,259,5902,194,347,7460,,,,,6972.0,5615.0,123.0,45969.0,,,,,100.0,3.0,0.0,0.0,6.0
2018,19151,140,263,6466,147,268,6352,,,,,6898.0,5584.0,111.0,49877.0,,,,,100.0,3.0,0.0,0.0,6.0
2019,19151,136,231,5239,133,230,5992,,,,,6797.0,5480.0,112.0,52448.0,,,,,100.0,3.0,0.0,0.0,6.0
2020,19151,165,312,6786,133,238,6788,,,,,6725.0,5398.0,140.0,53573.0,,,,,100.0,3.0,0.0,0.0,6.0
2011,19153,10563,19036,483331,9811,18206,512000,437399.0,336998.0,17766.0,55826.0,425582.0,328336.0,14061.0,57473.0,,,,,0.0,1.0,3.0,94.0,3.0
2012,19153,11490,21038,569684,10266,19164,579052,443710.0,342184.0,14819.0,57854.0,431811.0,332916.0,14304.0,58096.0,,,,,0.0,1.0,3.0,94.0,3.0
2013,19153,11987,22042,585217,10834,20180,587675,451677.0,350027.0,14509.0,59328.0,438307.0,338351.0,15406.0,59018.0,,,,,0.0,1.0,3.0,94.0,3.0
2014,19153,9671,17219,480673,8538,14978,461952,459862.0,356510.0,11499.0,60978.0,445136.0,343863.0,14869.0,59844.0,459862.0,356510.0,11499.0,60978.0,0.0,1.0,3.0,94.0,3.0
2015,19153,13369,24242,731355,11683,21614,771252,467711.0,360782.0,15126.0,60176.0,452369.0,349332.0,14792.0,60061.0,467711.0,360782.0,15126.0,60176.0,0.0,1.0,3.0,94.0,3.0
2016,19153,16895,30522,974866,15904,29914,1014886,474045.0,367900.0,12403.0,64067.0,459159.0,354927.0,13359.0,61684.0,474045.0,367900.0,12403.0,64067.0,0.0,1.0,3.0,94.0,3.0
2017,19153,13343,23780,758910,12375,22368,746798,481830.0,374505.0,8779.0,65995.0,467235.0,362001.0,12424.0,63530.0,481830.0,374505.0,8779.0,65995.0,0.0,1.0,3.0,94.0,3.0
2018,19153,11023,18779,653875,11008,19604,770712,487204.0,379522.0,9933.0,68291.0,474274.0,367768.0,11357.0,66044.0,487204.0,379522.0,9933.0,68291.0,0.0,1.0,3.0,94.0,3.0
2019,19153,12537,21151,749448,12209,22218,838960,490161.0,382008.0,12685.0,66918.0,479612.0,372445.0,11355.0,67637.0,490161.0,382008.0,12685.0,66918.0,0.0,1.0,3.0,94.0,3.0
2020,19153,16014,24286,755641,13704,23147,859695,,,,,485418.0,378054.0,12360.0,69747.0,,,,,0.0,1.0,3.0,94.0,3.0
2011,19155,2062,4009,74824,2258,4300,83303,93518.0,73156.0,3072.0,48850.0,92464.0,72651.0,3239.0,49924.0,,,,,0.0,2.0,5.0,23.0,3.0
2012,19155,2113,4093,82941,2227,4181,87273,92913.0,73060.0,2156.0,50171.0,92793.0,72936.0,3164.0,49941.0,,,,,0.0,2.0,5.0,23.0,3.0
2013,19155,2042,3826,77566,2050,3888,90971,92728.0,72732.0,2855.0,50557.0,92962.0,73048.0,3235.0,51304.0,,,,,0.0,2.0,5.0,23.0,3.0
2014,19155,1508,2858,56995,1536,2800,72875,93128.0,73645.0,2503.0,52239.0,93153.0,73361.0,2943.0,51939.0,93128.0,73645.0,2503.0,52239.0,0.0,2.0,5.0,23.0,3.0
2015,19155,1978,3774,87225,2193,3985,96032,93671.0,74063.0,1698.0,53117.0,93213.0,73416.0,2430.0,51976.0,93671.0,74063.0,1698.0,53117.0,0.0,2.0,5.0,23.0,3.0
2016,19155,2762,5238,119987,2874,5323,132501,93582.0,74454.0,2538.0,55972.0,93198.0,73625.0,2400.0,53260.0,93582.0,74454.0,2538.0,55972.0,0.0,2.0,5.0,23.0,3.0
2017,19155,1997,3716,92374,2130,3895,101089,93386.0,73613.0,2072.0,58633.0,93287.0,73577.0,2320.0,56291.0,93386.0,73613.0,2072.0,58633.0,0.0,2.0,5.0,23.0,3.0
2018,19155,2009,3719,91823,2035,3757,99106,93533.0,74371.0,2018.0,55376.0,93503.0,73899.0,2115.0,57467.0,93533.0,74371.0,2018.0,55376.0,0.0,2.0,5.0,23.0,3.0
2019,19155,2191,4020,104116,2280,4183,116163,93206.0,73958.0,1344.0,60056.0,93393.0,73929.0,1843.0,60065.0,93206.0,73958.0,1344.0,60056.0,0.0,2.0,5.0,23.0,3.0
2020,19155,2179,3850,105256,2265,3949,107867,,,,,93478.0,74248.0,2054.0,59901.0,,,,,0.0,2.0,5.0,23.0,3.0
2011,19157,444,865,18296,522,1000,26859,,,,,18965.0,15403.0,641.0,52413.0,,,,,0.0,5.0,0.0,0.0,6.0
2012,19157,474,957,21383,478,905,24588,,,,,18888.0,15326.0,621.0,50703.0,,,,,0.0,5.0,0.0,0.0,6.0
2013,19157,440,836,19191,447,887,19401,,,,,18804.0,15280.0,690.0,50349.0,,,,,0.0,5.0,0.0,0.0,6.0
2014,19157,285,505,11059,310,579,12334,,,,,18765.0,15274.0,585.0,51650.0,,,,,0.0,5.0,0.0,0.0,6.0
